Time,Z,X,Y
2.3,15.073678,6.19776,-0.574586
2.31,15.076264,6.20979,-0.570185
2.32,15.084291,6.214458,-0.586195
2.33,15.076435,6.198234,-0.57209
2.34,15.087544,6.213077,-0.581616
2.35,15.090101,6.2086,-0.580646
2.36,15.081645,6.200262,-0.572785
2.37,15.082109,6.206942,-0.573507
2.38,15.08207,6.20948,-0.570826
2.39,15.081353,6.210501,-0.569831
2.4,15.081219,6.213949,-0.575845
2.41,15.081327,6.213503,-0.568434
2.42,15.085081,6.218956,-0.574491
2.43,15.089609,6.220792,-0.577339
2.44,15.0951,6.230067,-0.589262
2.45,15.084144,6.209938,-0.58432
2.46,15.081232,6.206765,-0.584563
2.47,15.080035,6.201641,-0.585356
2.48,15.082354,6.207396,-0.582971
2.49,15.082948,6.210557,-0.581969
2.5,15.083215,6.202746,-0.584556
2.51,15.082943,6.19872,-0.587504
2.52,15.073339,6.211126,-0.585616
2.53,15.07607,6.197412,-0.583085
2.54,15.077255,6.204061,-0.575522
2.55,15.080552,6.200442,-0.57299
2.56,15.079943,6.192848,-0.582665
2.57,15.07684,6.18443,-0.583809
2.58,15.077349,6.183494,-0.581953
2.59,15.079703,6.191938,-0.574535
2.6,15.083699,6.194348,-0.577473
2.61,15.078152,6.195825,-0.575255
2.62,15.079262,6.194056,-0.582336
2.63,15.073183,6.200902,-0.585146
2.64,15.079861,6.202602,-0.57492
2.65,15.086209,6.202672,-0.57613
2.66,15.081816,6.208116,-0.577387
2.67,15.081342,6.207089,-0.579507
2.68,15.092418,6.217208,-0.597885
2.69,15.09289,6.225238,-0.590281
2.7,15.085701,6.208778,-0.581861
2.71,15.092359,6.214612,-0.584815
2.72,15.086291,6.218497,-0.581616
2.73,15.090948,6.222537,-0.599032
2.74,15.083738,6.211195,-0.581696
2.75,15.08971,6.214644,-0.580886
2.76,15.08517,6.2196,-0.58091
2.77,15.081806,6.214479,-0.581981
2.78,15.083431,6.207419,-0.582636
2.79,15.085954,6.204245,-0.586754
2.8,15.084203,6.211745,-0.581811
2.81,15.084285,6.208534,-0.58099
2.82,15.083697,6.199448,-0.585304
2.83,15.081618,6.213443,-0.580328
2.84,15.079565,6.204699,-0.582769
2.85,15.079871,6.200901,-0.581685
2.86,15.079554,6.205907,-0.579018
2.87,15.077146,6.2091,-0.576051
2.88,15.085185,6.206263,-0.574966
2.89,15.084924,6.21426,-0.58229
2.9,15.085241,6.209684,-0.589046
2.91,15.085567,6.205585,-0.583908
2.92,15.084027,6.215276,-0.581559
2.93,15.087436,6.213982,-0.575484
2.94,15.090868,6.211231,-0.570357
2.95,15.088904,6.215272,-0.571258
2.96,15.083565,6.216042,-0.57493
2.97,15.086452,6.202467,-0.57862
2.98,15.091767,6.203736,-0.579875
2.99,15.086974,6.21141,-0.575745
3,15.082232,6.213967,-0.568931
3.01,15.077074,6.210539,-0.576439
3.02,15.077622,6.20914,-0.579015
3.03,15.082474,6.205372,-0.577696
3.04,15.083614,6.217143,-0.577283
3.05,15.082381,6.216636,-0.577285
3.06,15.079145,6.211277,-0.59217
3.07,15.081293,6.210308,-0.584383
3.08,15.075983,6.224708,-0.587202
3.09,15.083874,6.225658,-0.579016
3.1,15.083778,6.228409,-0.57518
3.11,15.08199,6.215935,-0.576441
3.12,15.073901,6.221242,-0.580338
3.13,15.087006,6.226496,-0.596309
3.14,15.08644,6.211765,-0.576217
3.15,15.088097,6.213429,-0.576268
3.16,15.07845,6.210205,-0.575592
3.17,15.082027,6.203048,-0.58292
3.18,15.085425,6.21352,-0.577138
3.19,15.08471,6.218403,-0.573288
3.2,15.085613,6.216956,-0.568335
3.21,15.095951,6.229423,-0.586867
3.22,15.086092,6.218478,-0.581365
3.23,15.084598,6.221603,-0.577404
3.24,15.088993,6.221145,-0.582334
3.25,15.090992,6.216298,-0.578942
3.26,15.08699,6.213107,-0.56668
3.27,15.083816,6.213771,-0.571853
3.28,15.084405,6.206174,-0.580013
3.29,15.084576,6.20386,-0.58507
3.3,15.083982,6.202386,-0.582572
3.31,15.084907,6.201556,-0.585009
3.32,15.083047,6.206003,-0.58312
3.33,15.082979,6.200747,-0.580957
3.34,15.081463,6.200289,-0.578593
3.35,15.082301,6.205323,-0.575593
3.36,15.080135,6.206375,-0.578124
3.37,15.079554,6.20109,-0.58092
3.38,15.07619,6.203626,-0.576118
3.39,15.070326,6.202636,-0.582855
3.4,15.072073,6.206565,-0.584418
3.41,15.074347,6.208303,-0.580103
3.42,15.086648,6.202655,-0.587024
3.43,15.087343,6.203658,-0.588153
3.44,15.075539,6.185745,-0.603248
3.45,15.081601,6.206205,-0.587947
3.46,15.084639,6.217472,-0.579282
3.47,15.090689,6.212638,-0.586389
3.48,15.086177,6.203598,-0.594037
3.49,15.086913,6.221109,-0.580115
3.5,15.081705,6.204415,-0.596232
3.51,15.088764,6.216084,-0.590697
3.52,15.088199,6.217282,-0.586449
3.53,15.092484,6.218563,-0.583498
3.54,15.092558,6.207227,-0.590448
3.55,15.089432,6.209569,-0.593245
3.56,15.086891,6.207718,-0.590796
3.57,15.090955,6.20457,-0.586206
3.58,15.095098,6.212232,-0.587558
3.59,15.090417,6.211905,-0.58515
3.6,15.083194,6.207913,-0.579707
3.61,15.079979,6.205647,-0.5861
3.62,15.076069,6.212753,-0.587491
3.63,15.077566,6.208741,-0.582636
3.64,15.085319,6.204541,-0.585526
3.65,15.083366,6.207212,-0.584859
3.66,15.080235,6.195458,-0.583295
3.67,15.072899,6.196912,-0.590685
3.68,15.072596,6.196383,-0.585036
3.69,15.078929,6.193409,-0.588269
3.7,15.080928,6.190545,-0.587774
3.71,15.083211,6.19419,-0.586247
3.72,15.079394,6.194872,-0.585636
3.73,15.078691,6.202898,-0.581592
3.74,15.078954,6.202147,-0.57973
3.75,15.083127,6.208958,-0.576833
3.76,15.086892,6.209719,-0.576335
3.77,15.082295,6.202643,-0.577477
3.78,15.095558,6.22122,-0.59362
3.79,15.084727,6.213779,-0.580611
3.8,15.089548,6.206865,-0.584434
3.81,15.089311,6.212998,-0.584382
3.82,15.085643,6.211052,-0.582249
3.83,15.083086,6.215497,-0.580564
3.84,15.088151,6.218789,-0.577283
3.85,15.087827,6.217647,-0.584274
3.86,15.088776,6.214334,-0.584549
3.87,15.086596,6.205929,-0.58892
3.88,15.085547,6.210124,-0.59235
3.89,15.087274,6.209496,-0.59066
3.9,15.080947,6.215148,-0.576143
3.91,15.078344,6.204023,-0.582393
3.92,15.08009,6.208603,-0.580989
3.93,15.074564,6.203405,-0.576629
3.94,15.076492,6.209239,-0.578176
3.95,15.079247,6.21325,-0.579085
3.96,15.080172,6.208957,-0.579619
3.97,15.08217,6.209,-0.581907
