%time,field.mx,field.my,field.fz,field.t,%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time
1.6769413116860946e+18,135.0,165.0,215.6,1676941310.801158,1676941310789840600,-0.970458984375,0.006591796875,-0.174560546875,-0.2366412213740458,1.068702290076336,-0.4274809160305343,0.0,1676941309.901153
1.6769413116861012e+18,135.0,166.0,215.6,1676941310.801793,1676941310789860000,-0.975341796875,-0.015380859375,-0.1982421875,-0.2290076335877862,1.1526717557251909,-0.5038167938931297,0.0,1676941309.916088
1.6769413116861056e+18,135.0,165.0,215.6,1676941310.8021452,1676941310837445300,-0.954833984375,-0.0078125,-0.196044921875,-0.2213740458015267,1.2748091603053435,-0.5038167938931297,0.0,1676941309.9390335
1.6769413116861094e+18,137.0,166.0,221.48,1676941310.802744,1676941310837467200,-0.962890625,-0.01123046875,-0.200439453125,-0.1755725190839694,1.3511450381679388,-0.5038167938931297,0.0,1676941309.9549055
1.676941311686148e+18,136.0,166.0,221.48,1676941310.803061,1676941310837533100,-0.96533203125,-0.015869140625,-0.2177734375,-0.1603053435114503,1.4122137404580153,-0.465648854961832,0.0,1676941309.9746563
1.6769413117322662e+18,141.0,169.0,219.52,1676941310.8486106,1676941310884125900,-0.9775390625,-0.030517578125,-0.238037109375,-0.1297709923664122,1.4045801526717556,-0.366412213740458,0.0,1676941309.9897754
1.676941311732278e+18,140.0,168.0,223.44,1676941310.849218,1676941310884146100,-0.98291015625,-0.03515625,-0.261962890625,-0.1145038167938931,1.2595419847328244,-0.2213740458015267,0.0,1676941310.004518
1.6769413117322936e+18,141.0,167.0,229.32,1676941310.8496275,1676941310884167800,-0.966064453125,-0.05810546875,-0.284912109375,-0.0687022900763358,0.916030534351145,-0.0687022900763358,0.0,1676941310.0196264
1.676941311732306e+18,143.0,168.0,237.16,1676941310.8506937,1676941310938225600,-0.97705078125,-0.098876953125,-0.35888671875,-0.0916030534351145,0.366412213740458,0.3053435114503817,0.0,1676941310.0363064
1.67694131173233e+18,151.0,171.0,246.96,1676941310.8510635,1676941310938249100,-0.985107421875,-0.166259765625,-0.4150390625,-0.0534351145038167,-0.2977099236641221,0.931297709923664,0.0,1676941310.0512314
1.6769413117799813e+18,156.0,173.0,252.84,1676941310.8973074,1676941310938263400,-1.0078125,-0.228515625,-0.446044921875,0.0381679389312977,-0.7938931297709924,1.870229007633588,0.0,1676941310.0660236
1.6769413117800018e+18,162.0,174.0,262.64,1676941310.8982906,1676941310996267500,-1.0478515625,-0.318359375,-0.45263671875,0.0229007633587786,-1.16793893129771,3.763358778625954,0.0,1676941310.0853372
1.676941311780015e+18,170.0,176.0,268.52,1676941310.8986444,1676941310996297000,-1.068115234375,-0.33154296875,-0.46435546875,-0.1908396946564885,-2.33587786259542,4.961832061068702,0.0,1676941310.1003346
1.676941311780028e+18,175.0,177.0,276.36,1676941310.898955,1676941310996341100,-1.00634765625,-0.33544921875,-0.366455078125,-1.9465648854961832,-3.4580152671755724,3.908396946564885,0.0,1676941310.115239
1.676941311829264e+18,177.0,178.0,282.24,1676941310.946065,1676941310996353800,-1.099853515625,-0.382080078125,-0.1435546875,-0.1603053435114503,-3.740458015267176,6.717557251908397,0.0,1676941310.1302643
1.6769413118292833e+18,181.0,180.0,290.08,1676941310.9465797,1676941311042798600,-1.325927734375,-0.28466796875,-0.039306640625,0.1145038167938931,-2.404580152671756,7.129770992366412,0.0,1676941310.1449184
1.6769413118292997e+18,185.0,182.0,295.96,1676941310.947104,1676941311042856700,-1.557861328125,-0.359619140625,-0.147216796875,-0.6870229007633588,-1.786259541984733,8.305343511450381,0.0,1676941310.1598208
