%time,field.mode,field.duration,field.motor1_move,field.motor2_move,field.motor1_torque,field.motor2_torque
1677616109699706300,0,0,10000,10000,1500,1500
1677616109699716400,0,0,10000,10000,1500,1500
1677616109699726300,0,0,10000,10000,1500,1500
1677616109699755700,0,0,10000,10000,1500,1500
1677616109699791200,0,0,10000,10000,1500,1500
1677616109749031500,0,0,10000,10000,1500,1500
1677616109749039700,0,0,10000,10000,1500,1500
1677616109749048700,0,0,10000,10000,1500,1500
1677616109749079200,0,0,10000,10000,1500,1500
1677616109813183600,0,0,10000,10000,1500,1500
1677616109813209200,0,0,10000,10000,1500,1500
1677616109813214400,0,0,10000,10000,1500,1500
1677616109813220600,0,0,10000,10000,1500,1500
1677616109813226300,0,0,10000,10000,1500,1500
1677616109813251600,0,0,10000,10000,1500,1500
1677616109813266700,0,0,10000,10000,1500,1500
1677616109897537900,0,0,10000,10000,1500,1500
1677616109897547300,0,0,10000,10000,1500,1500
1677616109897550000,0,0,10000,10000,1500,1500
1677616109897552600,0,0,10000,10000,1500,1500
1677616109897554900,0,0,10000,10000,1500,1500
1677616109897557400,0,0,10000,10000,1500,1500
1677616109950434700,0,0,10000,10000,1500,1500
1677616109950465500,0,0,10000,10000,1500,1500
1677616109950470500,0,0,10000,10000,1500,1500
1677616109950474400,0,0,10000,10000,1500,1500
1677616109950478000,0,0,10000,10000,1500,1500
1677616109950481500,0,0,10000,10000,1500,1500
1677616109950485100,0,0,10000,10000,1500,1500
1677616109950488600,0,0,10000,10000,1500,1500
1677616109999613600,0,0,10000,10000,1500,1500
1677616109999617900,0,0,10000,10000,1500,1500
1677616109999622300,0,0,10000,10000,1500,1500
1677616109999627200,0,0,10000,10000,1500,1500
1677616110060031500,0,0,10000,10000,1500,1500
1677616110060051600,0,0,10000,10000,1500,1500
1677616110060059700,0,0,10000,10000,1500,1500
1677616110060066100,0,0,10000,10000,1500,1500
1677616110060074900,0,0,10000,10000,1500,1500
1677616110060081100,0,0,10000,10000,1500,1500
1677616110123538300,0,0,10000,10000,1500,1500
1677616110123566100,0,0,10000,10000,1500,1500
1677616110123577700,0,0,10000,10000,1500,1500
1677616110123584000,0,0,10000,10000,1500,1500
1677616110123590900,0,0,10000,10000,1500,1500
1677616110123615800,0,0,10000,10000,1500,1500
1677616110123669900,0,0,10000,10000,1500,1500
1677616110186912200,0,0,10000,10000,1500,1500
1677616110187008300,0,0,10000,10000,1500,1500
1677616110187017600,0,0,10000,10000,1500,1500
1677616110187060000,0,0,10000,10000,1500,1500
1677616110187076800,0,0,10000,10000,1500,1500
1677616110187098600,0,0,10000,10000,1500,1500
1677616110249826500,0,0,10000,10000,1500,1500
1677616110249915300,0,0,10000,10000,1500,1500
1677616110249921400,0,0,10000,10000,1500,1500
1677616110250031500,0,0,10000,10000,1500,1500
1677616110250038000,0,0,10000,10000,1500,1500
1677616110250057700,0,0,10000,10000,1500,1500
1677616110313936400,0,0,10000,10000,1500,1500
1677616110313957300,0,0,10000,10000,1500,1500
1677616110313968500,0,0,10000,10000,1500,1500
1677616110313989000,0,0,10000,10000,1500,1500
1677616110313998300,0,0,10000,10000,1500,1500
1677616110314006600,0,0,10000,10000,1500,1500
1677616110314090600,0,0,10000,10000,1500,1500
1677616110374517200,0,0,10000,10000,1500,1500
1677616110374532200,0,0,10000,10000,1500,1500
1677616110374551400,0,0,10000,10000,1500,1500
1677616110374558500,0,0,10000,10000,1500,1500
1677616110374563400,0,0,10000,10000,1500,1500
1677616110374588900,0,0,10000,10000,1500,1500
1677616110443555400,0,0,10000,10000,1500,1500
1677616110443578300,0,0,10000,10000,1500,1500
1677616110443584700,0,0,10000,10000,1500,1500
1677616110443593700,0,0,10000,10000,1500,1500
1677616110443624800,0,0,10000,10000,1500,1500
1677616110443630000,0,0,10000,10000,1500,1500
1677616110443634900,0,0,10000,10000,1500,1500
1677616110499218100,0,0,10000,10000,1500,1500
1677616110499272300,0,0,10000,10000,1500,1500
1677616110499286600,0,0,10000,10000,1500,1500
1677616110499293600,0,0,10000,10000,1500,1500
1677616110499416200,0,0,10000,10000,1500,1500
1677616110575542800,0,0,10000,10000,1500,1500
1677616110575636100,0,0,10000,10000,1500,1500
1677616110575643900,0,0,10000,10000,1500,1500
1677616110575649500,0,0,10000,10000,1500,1500
1677616110575704400,0,0,10000,10000,1500,1500
1677616110575782900,0,0,10000,10000,1500,1500
1677616110575792300,0,0,10000,10000,1500,1500
1677616110575797500,0,0,10000,10000,1500,1500
1677616110636946500,0,0,10000,10000,1500,1500
1677616110636970800,0,0,10000,10000,1500,1500
1677616110636975700,0,0,10000,10000,1500,1500
1677616110636980400,0,0,10000,10000,1500,1500
1677616110636985000,0,0,10000,10000,1500,1500
1677616110637000300,0,0,10000,10000,1500,1500
1677616110702095500,0,0,10000,10000,1500,1500
1677616110702127500,0,0,10000,10000,1500,1500
1677616110702135700,0,0,10000,10000,1500,1500
1677616110702144100,0,0,10000,10000,1500,1500
1677616110702171000,0,0,10000,10000,1500,1500
1677616110702179200,0,0,10000,10000,1500,1500
1677616110762218500,0,0,10000,10000,1500,1500
1677616110762247100,0,0,10000,10000,1500,1500
1677616110762253900,0,0,10000,10000,1500,1500
1677616110762262200,0,0,10000,10000,1500,1500
1677616110762269200,0,0,10000,10000,1500,1500
1677616110762276600,0,0,10000,10000,1500,1500
1677616110762282100,0,0,10000,10000,1500,1500
1677616110822579900,0,0,10000,10000,1500,1500
1677616110822603300,0,0,10000,10000,1500,1500
1677616110822994900,0,0,10000,10000,1500,1500
1677616110823007200,0,0,10000,10000,1500,1500
1677616110823024600,0,0,10000,10000,1500,1500
1677616110823032300,0,0,10000,10000,1500,1500
1677616110884263100,0,0,10000,10000,1500,1500
1677616110884282200,0,0,10000,10000,1500,1500
1677616110884290900,0,0,10000,10000,1500,1500
1677616110884293800,0,0,10000,10000,1500,1500
1677616110884296500,0,0,10000,10000,1500,1500
1677616110884299700,0,0,10000,10000,1500,1500
1677616110933379700,0,0,10000,10000,1500,1500
1677616110933425700,0,0,10000,10000,1500,1500
1677616110933436700,0,0,10000,10000,1500,1500
1677616110933457800,0,0,10000,10000,1500,1500
1677616110933574500,0,0,10000,10000,1500,1500
1677616111000904500,0,0,10000,10000,1500,1500
1677616111000932100,0,0,10000,10000,1500,1500
1677616111000940100,0,0,10000,10000,1500,1500
1677616111000946300,0,0,10000,10000,1500,1500
1677616111000962700,0,0,10000,10000,1500,1500
1677616111001021400,0,0,10000,10000,1500,1500
1677616111070590200,0,0,10000,10000,1500,1500
1677616111070619900,0,0,10000,10000,1500,1500
1677616111070628700,0,0,10000,10000,1500,1500
1677616111070633400,0,0,10000,10000,1500,1500
1677616111070637900,0,0,10000,10000,1500,1500
1677616111070667000,0,0,10000,10000,1500,1500
1677616111132873600,0,0,10000,10000,1500,1500
1677616111132899800,0,0,10000,10000,1500,1500
1677616111132906900,0,0,10000,10000,1500,1500
1677616111132935000,0,0,10000,10000,1500,1500
1677616111132951900,0,0,10000,10000,1500,1500
1677616111132962000,0,0,10000,10000,1500,1500
1677616111132976100,0,0,10000,10000,1500,1500
1677616111132986900,0,0,10000,10000,1500,1500
1677616111178770600,0,0,10000,10000,1500,1500
1677616111178807900,0,0,10000,10000,1500,1500
1677616111178819800,0,0,10000,10000,1500,1500
1677616111178829500,0,0,10000,10000,1500,1500
1677616111178840100,0,0,10000,10000,1500,1500
1677616111224593600,0,0,10000,10000,1500,1500
1677616111224641900,0,0,10000,10000,1500,1500
1677616111224655400,0,0,10000,10000,1500,1500
1677616111224662800,0,0,10000,10000,1500,1500
1677616111270914900,0,0,10000,10000,1500,1500
1677616111270944700,0,0,10000,10000,1500,1500
1677616111270954600,0,0,10000,10000,1500,1500
1677616111270960900,0,0,10000,10000,1500,1500
1677616111270975100,0,0,10000,10000,1500,1500
1677616111317105500,0,0,10000,10000,1500,1500
1677616111317130200,0,0,10000,10000,1500,1500
1677616111317185800,0,0,10000,10000,1500,1500
1677616111317214600,0,0,10000,10000,1500,1500
1677616111365424200,0,0,10000,10000,1500,1500
1677616111365441600,0,0,10000,10000,1500,1500
1677616111365588500,0,0,10000,10000,1500,1500
1677616111365734500,0,0,10000,10000,1500,1500
1677616111365745000,0,0,10000,10000,1500,1500
1677616111426277000,0,0,10000,10000,1500,1500
1677616111426289700,0,0,10000,10000,1500,1500
1677616111426320800,0,0,10000,10000,1500,1500
1677616111426346900,0,0,10000,10000,1500,1500
1677616111427175200,0,0,10000,10000,1500,1500
1677616111427189700,0,0,10000,10000,1500,1500
1677616111476770200,0,0,10000,10000,1500,1500
1677616111476795300,0,0,10000,10000,1500,1500
1677616111476810300,0,0,10000,10000,1500,1500
1677616111476818000,0,0,10000,10000,1500,1500
1677616111476848200,0,0,10000,10000,1500,1500
1677616111535191600,0,0,10000,10000,1500,1500
1677616111535206200,0,0,10000,10000,1500,1500
1677616111535603200,0,0,10000,10000,1500,1500
1677616111535753200,0,0,10000,10000,1500,1500
1677616111536108800,0,0,10000,10000,1500,1500
1677616111536261000,0,0,10000,10000,1500,1500
1677616111596709200,0,0,10000,10000,1500,1500
1677616111596727000,0,0,10000,10000,1500,1500
1677616111596739200,0,0,10000,10000,1500,1500
1677616111596745400,0,0,10000,10000,1500,1500
1677616111596749500,0,0,10000,10000,1500,1500
1677616111596891900,0,0,10000,10000,1500,1500
1677616111643649200,0,0,10000,10000,1500,1500
1677616111643653500,0,0,10000,10000,1500,1500
1677616111643657400,0,0,10000,10000,1500,1500
1677616111643733000,0,0,10000,10000,1500,1500
1677616111643739700,0,0,10000,10000,1500,1500
1677616111708864500,0,0,10000,10000,1500,1500
1677616111708876500,0,0,10000,10000,1500,1500
1677616111708886800,0,0,10000,10000,1500,1500
1677616111708891400,0,0,10000,10000,1500,1500
1677616111708945300,0,0,10000,10000,1500,1500
1677616111708991200,0,0,10000,10000,1500,1500
1677616111773573200,0,0,10000,10000,1500,1500
1677616111773622700,0,0,10000,10000,1500,1500
1677616111773631500,0,0,10000,10000,1500,1500
1677616111773634700,0,0,10000,10000,1500,1500
1677616111773637800,0,0,10000,10000,1500,1500
1677616111773640600,0,0,10000,10000,1500,1500
1677616111830633000,0,0,10000,10000,1500,1500
1677616111830642700,0,0,10000,10000,1500,1500
1677616111830762800,0,0,10000,10000,1500,1500
1677616111830772600,0,0,10000,10000,1500,1500
1677616111830897800,0,0,10000,10000,1500,1500
1677616111830944600,0,0,10000,10000,1500,1500
1677616111830955000,0,0,10000,10000,1500,1500
1677616111892184100,0,0,10000,10000,1500,1500
1677616111892189700,0,0,10000,10000,1500,1500
1677616111892195600,0,0,10000,10000,1500,1500
1677616111892199800,0,0,10000,10000,1500,1500
1677616111892284300,0,0,10000,10000,1500,1500
1677616111892293200,0,0,10000,10000,1500,1500
1677616111954163100,0,0,10000,10000,1500,1500
1677616111954208700,0,0,10000,10000,1500,1500
1677616111954219400,0,0,10000,10000,1500,1500
1677616111954234700,0,0,10000,10000,1500,1500
1677616111954239900,0,0,10000,10000,1500,1500
1677616111954248400,0,0,10000,10000,1500,1500
1677616112019410900,0,0,10000,10000,1500,1500
1677616112019427800,0,0,10000,10000,1500,1500
1677616112019450400,0,0,10000,10000,1500,1500
1677616112019460600,0,0,10000,10000,1500,1500
1677616112019475000,0,0,10000,10000,1500,1500
1677616112019481300,0,0,10000,10000,1500,1500
1677616112077807500,0,0,10000,10000,1500,1500
1677616112077898500,0,0,10000,10000,1500,1500
1677616112077912300,0,0,10000,10000,1500,1500
1677616112077924500,0,0,10000,10000,1500,1500
1677616112077933700,0,0,10000,10000,1500,1500
1677616112077942900,0,0,10000,10000,1500,1500
1677616112135712500,0,0,10000,10000,1500,1500
1677616112135800500,0,0,10000,10000,1500,1500
1677616112135815500,0,0,10000,10000,1500,1500
1677616112135826200,0,0,10000,10000,1500,1500
1677616112135851000,0,0,10000,10000,1500,1500
1677616112135885400,0,0,10000,10000,1500,1500
1677616112183495200,0,0,10000,10000,1500,1500
1677616112183519300,0,0,10000,10000,1500,1500
1677616112183529700,0,0,10000,10000,1500,1500
1677616112183537200,0,0,10000,10000,1500,1500
1677616112183545700,0,0,10000,10000,1500,1500
1677616112231341900,0,0,10000,10000,1500,1500
1677616112231345100,0,0,10000,10000,1500,1500
1677616112231348300,0,0,10000,10000,1500,1500
1677616112231351600,0,0,10000,10000,1500,1500
1677616112231354800,0,0,10000,10000,1500,1500
1677616112294609500,0,0,10000,10000,1500,1500
1677616112294633300,0,0,10000,10000,1500,1500
1677616112294642500,0,0,10000,10000,1500,1500
1677616112294648000,0,0,10000,10000,1500,1500
1677616112294652500,0,0,10000,10000,1500,1500
1677616112294657400,0,0,10000,10000,1500,1500
1677616112359731200,0,0,10000,10000,1500,1500
1677616112359771300,0,0,10000,10000,1500,1500
1677616112359787100,0,0,10000,10000,1500,1500
1677616112359793500,0,0,0,0,1500,1500
1677616112359800000,0,0,0,0,1500,1500
1677616112359809800,0,0,0,0,1500,1500
1677616112420883000,0,0,0,0,1500,1500
1677616112420888500,0,0,0,0,1500,1500
1677616112420893500,0,0,0,0,1500,1500
1677616112420898800,0,0,0,0,1500,1500
1677616112420903900,0,0,0,0,1500,1500
1677616112420909200,0,0,0,0,1500,1500
1677616112478467500,0,0,0,0,1500,1500
1677616112478471900,0,0,0,0,1500,1500
1677616112478475900,0,0,0,0,1500,1500
1677616112478480100,0,0,0,0,1500,1500
1677616112478483800,0,0,0,0,1500,1500
1677616112478487900,0,0,0,0,1500,1500
1677616112539738400,0,0,0,0,1500,1500
1677616112539745100,0,0,0,0,1500,1500
1677616112539748900,0,0,0,0,1500,1500
1677616112539759000,0,0,0,0,1500,1500
1677616112539785800,0,0,0,0,1500,1500
1677616112539797000,0,0,0,0,1500,1500
1677616112539802700,0,0,0,0,1500,1500
1677616112584807200,0,0,0,0,1500,1500
1677616112584810300,0,0,0,0,1500,1500
1677616112584813100,0,0,0,0,1500,1500
1677616112584816000,0,0,0,0,1500,1500
1677616112633061800,0,0,0,0,1500,1500
1677616112633067500,0,0,0,0,1500,1500
1677616112633071200,0,0,0,0,1500,1500
1677616112633426700,0,0,0,0,1500,1500
1677616112633520500,0,0,0,0,1500,1500
1677616112682926100,0,0,0,0,1500,1500
1677616112682931400,0,0,0,0,1500,1500
1677616112682935400,0,0,0,0,1500,1500
1677616112682939800,0,0,0,0,1500,1500
1677616112682944400,0,0,0,0,1500,1500
1677616112740291000,0,0,0,0,1500,1500
1677616112740295900,0,0,0,0,1500,1500
1677616112740302100,0,0,0,0,1500,1500
1677616112740306800,0,0,0,0,1500,1500
1677616112740319600,0,0,0,0,1500,1500
1677616112740326700,0,0,0,0,1500,1500
1677616112791247800,0,0,0,0,1500,1500
1677616112791253300,0,0,0,0,1500,1500
1677616112791257300,0,0,0,0,1500,1500
1677616112791260800,0,0,0,0,1500,1500
1677616112791264300,0,0,0,0,1500,1500
1677616112851649900,0,0,0,0,1500,1500
1677616112851654100,0,0,0,0,1500,1500
1677616112851658000,0,0,0,0,1500,1500
1677616112851662300,0,0,0,0,1500,1500
1677616112851666300,0,0,0,0,1500,1500
1677616112851704900,0,0,0,0,1500,1500
1677616112996093800,0,0,0,0,1500,1500
1677616112996151200,0,0,0,0,1500,1500
1677616112996163900,0,0,0,0,1500,1500
1677616112996175200,0,0,0,0,1500,1500
1677616112996182000,0,0,0,0,1500,1500
1677616112996219100,0,0,0,0,1500,1500
1677616112996237300,0,0,0,0,1500,1500
1677616112996245600,0,0,0,0,1500,1500
1677616112996253000,0,0,0,0,1500,1500
1677616112996260700,0,0,0,0,1500,1500
1677616113071307400,0,0,0,0,1500,1500
1677616113071344000,0,0,0,0,1500,1500
1677616113071353800,0,0,0,0,1500,1500
1677616113071374300,0,0,0,0,1500,1500
1677616113071392700,0,0,0,0,1500,1500
1677616113071396700,0,0,0,0,1500,1500
1677616113071404700,0,0,0,0,1500,1500
1677616113071411800,0,0,0,0,1500,1500
1677616113071415200,0,0,0,0,1500,1500
1677616113071419300,0,0,0,0,1500,1500
1677616113071593500,0,0,0,0,1500,1500
1677616113144284700,0,0,0,0,1500,1500
1677616113144304200,0,0,0,0,1500,1500
1677616113144311800,0,0,0,0,1500,1500
1677616113144327700,0,0,0,0,1500,1500
1677616113144335900,0,0,0,0,1500,1500
1677616113144340100,0,0,0,0,1500,1500
1677616113144541900,0,0,0,0,1500,1500
1677616113193606900,0,0,0,0,1500,1500
1677616113193611600,0,0,0,0,1500,1500
1677616113193668600,0,0,0,0,1500,1500
1677616113193713300,0,0,0,0,1500,1500
1677616113193786200,0,0,0,0,1500,1500
1677616113193801700,0,0,0,0,1500,1500
1677616113255117400,0,0,0,0,1500,1500
1677616113255140100,0,0,0,0,1500,1500
1677616113255152700,0,0,0,0,1500,1500
1677616113255199200,0,0,0,0,1500,1500
1677616113255254400,0,0,0,0,1500,1500
1677616113255265600,0,0,0,0,1500,1500
1677616113333727200,0,0,0,0,1500,1500
1677616113333731900,0,0,0,0,1500,1500
1677616113333736500,0,0,0,0,1500,1500
1677616113333740200,0,0,0,0,1500,1500
1677616113333743600,0,0,0,0,1500,1500
1677616113333747200,0,0,0,0,1500,1500
1677616113333751300,0,0,0,0,1500,1500
1677616113397848300,0,0,0,0,1500,1500
1677616113397856100,0,0,0,0,1500,1500
1677616113397866700,0,0,0,0,1500,1500
1677616113397871200,0,0,0,0,1500,1500
1677616113397878700,0,0,0,0,1500,1500
1677616113397882600,0,0,0,0,1500,1500
1677616113397887600,0,0,0,0,1500,1500
1677616113457705300,0,0,0,0,1500,1500
1677616113457715700,0,0,0,0,1500,1500
1677616113457724900,0,0,0,0,1500,1500
1677616113457746600,0,0,0,0,1500,1500
1677616113457755800,0,0,0,0,1500,1500
1677616113457762800,0,0,0,0,1500,1500
1677616113521108100,0,0,0,0,1500,1500
1677616113521119400,0,0,0,0,1500,1500
1677616113521124500,0,0,0,0,1500,1500
1677616113521127900,0,0,0,0,1500,1500
1677616113521133400,0,0,0,0,1500,1500
1677616113521137300,0,0,0,0,1500,1500
1677616113583719700,0,0,0,0,1500,1500
1677616113583722900,0,0,0,0,1500,1500
1677616113583731900,0,0,0,0,1500,1500
1677616113583735600,0,0,0,0,1500,1500
1677616113583742100,0,0,0,0,1500,1500
1677616113583747100,0,0,0,0,1500,1500
1677616113583750200,0,0,0,0,1500,1500
1677616113645403600,0,0,0,0,1500,1500
1677616113645408000,0,0,0,0,1500,1500
1677616113645412100,0,0,0,0,1500,1500
1677616113645416100,0,0,0,0,1500,1500
1677616113645420600,0,0,0,0,1500,1500
1677616113645426700,0,0,0,0,1500,1500
1677616113707522400,0,0,0,0,1500,1500
1677616113707525900,0,0,0,0,1500,1500
1677616113707529200,0,0,0,0,1500,1500
1677616113707532600,0,0,0,0,1500,1500
1677616113707535800,0,0,0,0,1500,1500
1677616113707539100,0,0,0,0,1500,1500
1677616113777419800,0,0,0,0,1500,1500
1677616113777431500,0,0,0,0,1500,1500
1677616113777435800,0,0,0,0,1500,1500
1677616113777439700,0,0,0,0,1500,1500
1677616113777443000,0,0,0,0,1500,1500
1677616113777449100,0,0,0,0,1500,1500
1677616113832929300,0,0,0,0,1500,1500
1677616113832934400,0,0,0,0,1500,1500
1677616113832939600,0,0,0,0,1500,1500
1677616113832944300,0,0,0,0,1500,1500
1677616113832953200,0,0,0,0,1500,1500
1677616113832957900,0,0,0,0,1500,1500
1677616113832962500,0,0,0,0,1500,1500
1677616113902081500,0,0,0,0,1500,1500
1677616113902084800,0,0,0,0,1500,1500
1677616113902089900,0,0,0,0,1500,1500
1677616113902092500,0,0,0,0,1500,1500
1677616113902095100,0,0,0,0,1500,1500
1677616113902097500,0,0,0,0,1500,1500
1677616113958593200,0,0,0,0,1500,1500
1677616113958644300,0,0,0,0,1500,1500
1677616113958654600,0,0,0,0,1500,1500
1677616113958673000,0,0,0,0,1500,1500
1677616113958830000,0,0,0,0,1500,1500
1677616113958839400,0,0,0,0,1500,1500
1677616114023089300,0,0,0,0,1500,1500
1677616114023107500,0,0,0,0,1500,1500
1677616114023111800,0,0,0,0,1500,1500
1677616114023133500,0,0,0,0,1500,1500
1677616114023141500,0,0,0,0,1500,1500
1677616114023188400,0,0,0,0,1500,1500
1677616114023199000,0,0,0,0,1500,1500
1677616114080312500,0,0,0,0,1500,1500
1677616114080316400,0,0,0,0,1500,1500
1677616114080319500,0,0,0,0,1500,1500
1677616114080322400,0,0,0,0,1500,1500
1677616114080325400,0,0,0,0,1500,1500
1677616114080438400,0,0,0,0,1500,1500
1677616114142701600,0,0,0,0,1500,1500
1677616114142714900,0,0,0,0,1500,1500
1677616114142719000,0,0,0,0,1500,1500
1677616114142723600,0,0,0,0,1500,1500
1677616114142732000,0,0,0,0,1500,1500
1677616114142738900,0,0,0,0,1500,1500
1677616114204586300,0,0,0,0,1500,1500
1677616114204589500,0,0,0,0,1500,1500
1677616114204592600,0,0,0,0,1500,1500
1677616114204596000,0,0,0,0,1500,1500
1677616114204598800,0,0,0,0,1500,1500
1677616114204601700,0,0,0,0,1500,1500
1677616114270574000,0,0,0,0,1500,1500
1677616114270578600,0,0,0,0,1500,1500
1677616114270582000,0,0,0,0,1500,1500
1677616114270585400,0,0,0,0,1500,1500
1677616114270588500,0,0,0,0,1500,1500
1677616114270607900,0,0,0,0,1500,1500
1677616114329914900,0,0,0,0,1500,1500
