%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time
1677616126383220500,0.797607421875,-0.181884765625,-0.8037109375,-0.1450381679389313,-0.32061068702290074,-0.11450381679389313,0.0,1677303939.1602898
1677616126383253100,0.7529296875,-0.159423828125,-0.811279296875,-0.08396946564885496,-0.2824427480916031,-0.16030534351145037,0.0,1677303939.1698825
1677616126383279200,0.77685546875,-0.184326171875,-0.797607421875,-0.06870229007633588,-0.2824427480916031,-0.1297709923664122,0.0,1677303939.1798213
1677616126383291000,0.79931640625,-0.184326171875,-0.80859375,-0.04580152671755725,-0.2595419847328244,-0.07633587786259542,0.0,1677303939.1907046
1677616126383295900,0.794189453125,-0.133056640625,-0.831298828125,-0.05343511450381679,-0.3282442748091603,-0.12213740458015267,0.0,1677303939.1997752
1677616126383414400,0.79541015625,-0.13525390625,-0.812744140625,-0.06870229007633588,-0.3053435114503817,-0.08396946564885496,0.0,1677303939.2097278
1677616126431575100,0.787109375,-0.142578125,-0.778076171875,-0.03816793893129771,-0.35877862595419846,-0.06870229007633588,0.0,1677303939.2202222
1677616126431606100,0.7763671875,-0.192138671875,-0.862548828125,-0.007633587786259542,-0.2748091603053435,-0.06870229007633588,0.0,1677303939.2302082
1677616126431610300,0.777587890625,-0.183837890625,-0.7744140625,-0.11450381679389313,-0.2595419847328244,-0.11450381679389313,0.0,1677303939.2405753
1677616126431616200,0.77685546875,-0.154052734375,-0.830078125,-0.05343511450381679,-0.24427480916030533,-0.04580152671755725,0.0,1677303939.2500274
1677616126431619500,0.818359375,-0.177978515625,-0.778564453125,-0.04580152671755725,-0.31297709923664124,-0.09923664122137404,0.0,1677303939.259697
1677616126498816700,0.82177734375,-0.2099609375,-0.836669921875,-0.08396946564885496,-0.26717557251908397,-0.09923664122137404,0.0,1677303939.2700863
1677616126498843700,0.79248046875,-0.134033203125,-0.817626953125,-0.061068702290076333,-0.2824427480916031,-0.13740458015267176,0.0,1677303939.2908497
1677616126498849000,0.786376953125,-0.1318359375,-0.839111328125,-0.08396946564885496,-0.3053435114503817,-0.06870229007633588,0.0,1677303939.2973022
1677616126498853000,0.7705078125,-0.17724609375,-0.823486328125,-0.04580152671755725,-0.33587786259541985,-0.09923664122137404,0.0,1677303939.3044882
1677616126498856600,0.76953125,-0.18310546875,-0.82080078125,-0.06870229007633588,-0.22137404580152673,-0.0916030534351145,0.0,1677303939.3126297
1677616126498863800,0.786376953125,-0.167724609375,-0.802001953125,-0.022900763358778626,-0.3053435114503817,-0.10687022900763359,0.0,1677303939.3193297
1677616126498888100,0.799072265625,-0.171142578125,-0.83203125,-0.05343511450381679,-0.3053435114503817,-0.13740458015267176,0.0,1677303939.3291538
1677616126570501100,0.77197265625,-0.188720703125,-0.796142578125,-0.09923664122137404,-0.21374045801526717,-0.03816793893129771,0.0,1677303939.339284
1677616126570567600,0.82080078125,-0.162841796875,-0.803466796875,-0.07633587786259542,-0.2824427480916031,-0.09923664122137404,0.0,1677303939.349153
1677616126570582500,0.8232421875,-0.134521484375,-0.845703125,-0.08396946564885496,-0.29770992366412213,-0.11450381679389313,0.0,1677303939.3592
1677616126570591300,0.82421875,-0.14599609375,-0.844970703125,-0.05343511450381679,-0.3282442748091603,-0.11450381679389313,0.0,1677303939.3691368
1677616126570596600,0.841552734375,-0.15771484375,-0.77880859375,-0.05343511450381679,-0.3053435114503817,-0.04580152671755725,0.0,1677303939.379782
1677616126570600900,0.793701171875,-0.1494140625,-0.818359375,-0.061068702290076333,-0.29770992366412213,-0.061068702290076333,0.0,1677303939.3891878
1677616126618343000,0.805419921875,-0.135498046875,-0.840087890625,-0.06870229007633588,-0.2748091603053435,-0.06870229007633588,0.0,1677303939.3992112
1677616126618372300,0.78857421875,-0.18701171875,-0.833740234375,-0.0916030534351145,-0.2748091603053435,-0.022900763358778626,0.0,1677303939.4091399
1677616126618376600,0.793701171875,-0.17724609375,-0.81396484375,-0.09923664122137404,-0.29770992366412213,-0.0916030534351145,0.0,1677303939.425109
1677616126618380100,0.7412109375,-0.177001953125,-0.820068359375,-0.09923664122137404,-0.2824427480916031,-0.08396946564885496,0.0,1677303939.4319303
1677616126618383600,0.84130859375,-0.15576171875,-0.809814453125,-0.0916030534351145,-0.2900763358778626,-0.07633587786259542,0.0,1677303939.4412239
1677616126618390800,0.775390625,-0.176513671875,-0.816162109375,-0.061068702290076333,-0.29770992366412213,-0.10687022900763359,0.0,1677303939.4493842
1677616126679047700,0.817138671875,-0.156982421875,-0.797607421875,-0.0916030534351145,-0.2748091603053435,-0.07633587786259542,0.0,1677303939.459832
1677616126679071500,0.811767578125,-0.171142578125,-0.814453125,-0.09923664122137404,-0.3053435114503817,-0.0916030534351145,0.0,1677303939.469474
1677616126679076100,0.785400390625,-0.15576171875,-0.826416015625,-0.0916030534351145,-0.2824427480916031,-0.16030534351145037,0.0,1677303939.4797616
1677616126679079700,0.79541015625,-0.14453125,-0.7861328125,-0.05343511450381679,-0.32061068702290074,-0.12213740458015267,0.0,1677303939.4938288
1677616126679082800,0.7998046875,-0.174560546875,-0.865966796875,-0.16793893129770993,-0.29770992366412213,-0.17557251908396945,0.0,1677303939.5024955
1677616126679086100,0.7890625,-0.209228515625,-0.8115234375,-1.9465648854961832,-0.37404580152671757,-0.09923664122137404,0.0,1677303939.5102031
1677616126746740000,0.793212890625,-0.138916015625,-0.81396484375,-0.1450381679389313,-0.31297709923664124,-0.11450381679389313,0.0,1677303939.5203366
1677616126746764800,0.793701171875,-0.178955078125,-0.816650390625,-0.08396946564885496,-0.31297709923664124,-0.13740458015267176,0.0,1677303939.5315208
1677616126746772200,0.796142578125,-0.1728515625,-0.8583984375,-0.07633587786259542,-0.2748091603053435,-0.09923664122137404,0.0,1677303939.5399055
1677616126746776000,0.744873046875,-0.148193359375,-0.8701171875,-0.10687022900763359,-0.31297709923664124,-0.09923664122137404,0.0,1677303939.5502844
1677616126746779700,0.761962890625,-0.192138671875,-0.755615234375,-0.022900763358778626,-0.2900763358778626,-0.04580152671755725,0.0,1677303939.56028
1677616126746789400,0.77783203125,-0.187744140625,-0.8291015625,-0.06870229007633588,-0.2824427480916031,-0.05343511450381679,0.0,1677303939.5697055
1677616126746793500,0.80712890625,-0.16748046875,-0.82373046875,-0.07633587786259542,-0.24427480916030533,-0.07633587786259542,0.0,1677303939.5807688
1677616126804649300,0.79248046875,-0.185302734375,-0.841064453125,-0.12213740458015267,-0.2900763358778626,-0.0916030534351145,0.0,1677303939.5898228
1677616126804679200,0.754638671875,-0.1826171875,-0.8330078125,-0.07633587786259542,-0.25190839694656486,-0.09923664122137404,0.0,1677303939.5998285
1677616126804684300,0.78662109375,-0.16455078125,-0.839599609375,-0.10687022900763359,-0.2748091603053435,-0.10687022900763359,0.0,1677303939.6102622
1677616126804688600,0.8037109375,-0.18701171875,-0.808349609375,-0.10687022900763359,-0.3282442748091603,-0.09923664122137404,0.0,1677303939.6202672
1677616126804692800,0.7939453125,-0.1826171875,-0.8251953125,-0.1297709923664122,-0.32061068702290074,-0.11450381679389313,0.0,1677303939.6300893
1677616126804696700,0.762451171875,-0.193603515625,-0.80712890625,-0.09923664122137404,-0.2595419847328244,-0.10687022900763359,0.0,1677303939.6394112
1677616126870083300,0.811279296875,-0.162353515625,-0.8369140625,-0.1450381679389313,-0.2900763358778626,-0.13740458015267176,0.0,1677303939.649829
