%time,field.mx,field.my,field.fz,field.t,,time dif
1.67694E+18,202,211,307.72,1676941259,2.053999901,0.000329971
1.67694E+18,191,204,294,1676941259,2.05418992,0.00019002
1.67694E+18,179,198,270.48,1676941259,2.151599884,0.097409964
1.67694E+18,170,194,241.08,1676941259,2.151919842,0.000319958
1.67694E+18,153,183,213.64,1676941259,2.152179956,0.000260115
1.67694E+18,133,171,176.4,1676941259,2.152359962,0.000180006
1.67694E+18,116,161,133.28,1676941259,2.152580023,0.00022006
1.67694E+18,102,151,94.08,1676941259,2.152770042,0.00019002
1.67694E+18,87,140,54.88,1676941259,2.200000048,0.047230005
1.67694E+18,71,132,13.72,1676941259,2.200330019,0.000329971
1.67694E+18,55,123,-25.48,1676941259,2.200510025,0.000180006
1.67694E+18,41,114,-58.8,1676941259,2.200700045,0.00019002
1.67694E+18,25,104,-117.6,1676941259,2.201220036,0.000519991
1.67694E+18,18,99,-131.32,1676941259,2.201459885,0.000239849
1.67694E+18,10,93,-150.92,1676941259,2.259039879,0.057579994
1.67694E+18,3,71,-160.72,1676941259,2.259449959,0.00041008
1.67694E+18,-6,35,-154.84,1676941259,2.260030031,0.000580072
1.67694E+18,-17,13,-156.8,1676941259,2.260299921,0.00026989
1.67694E+18,-14,14,-160.72,1676941260,2.318729877,0.058429956
1.67694E+18,-12,12,-160.72,1676941260,2.319139957,0.00041008
1.67694E+18,-10,12,-158.76,1676941260,2.319469929,0.000329971
1.67694E+18,-6,-25,-150.92,1676941260,2.319759846,0.000289917
1.67694E+18,-4,-6,-152.88,1676941260,2.349060059,0.029300213
1.67694E+18,-17,8,-154.84,1676941260,2.349400043,0.000339985
1.67694E+18,-15,10,-152.88,1676941260,2.349760056,0.000360012
1.67694E+18,-10,9,-156.8,1676941260,2.349979877,0.000219822
1.67694E+18,-7,2,-147,1676941260,2.394739866,0.044759989
1.67694E+18,-11,-1,-148.96,1676941260,2.395179987,0.000440121
1.67694E+18,-10,6,-152.88,1676941260,2.395329952,0.000149965
1.67694E+18,-9,3,-147,1676941260,2.400899887,0.005569935
1.67694E+18,-13,-1,-147,1676941260,2.422039986,0.021140099
1.67694E+18,-15,1,-147,1676941260,2.44343996,0.021399975
1.67694E+18,-14,1,-147,1676941260,2.443870068,0.000430107
1.67694E+18,-13,1,-147,1676941260,2.444010019,0.000139952
1.67694E+18,-13,1,-147,1676941260,2.444279909,0.00026989
1.67694E+18,-13,2,-141.12,1676941260,2.475460052,0.031180143
1.67694E+18,-13,1,-145.04,1676941260,2.475849867,0.000389814
1.67694E+18,-17,-1,-139.16,1676941260,2.502490044,0.026640177
1.67694E+18,-18,0,-139.16,1676941260,2.502889872,0.000399828
1.67694E+18,-18,0,-139.16,1676941260,2.513609886,0.010720015
1.67694E+18,-18,1,-143.08,1676941260,2.514019966,0.00041008
1.67694E+18,-17,2,-145.04,1676941260,2.551310062,0.037290096
1.67694E+18,-18,3,-143.08,1676941260,2.551670074,0.000360012
1.67694E+18,-17,3,-145.04,1676941260,2.562340021,0.010669947
1.67694E+18,-18,4,-145.04,1676941260,2.562550068,0.000210047
1.67694E+18,-17,5,-139.16,1676941260,2.588700056,0.026149988
1.67694E+18,-17,7,-143.08,1676941260,2.589159966,0.000459909
1.67694E+18,-15,8,-145.04,1676941260,2.589439869,0.000279903
1.67694E+18,-13,11,-147,1676941260,2.589560032,0.000120163
1.67694E+18,-11,13,-145.04,1676941260,2.638419867,0.048859835
1.67694E+18,-14,12,-145.04,1676941260,2.638859987,0.000440121
1.67694E+18,-10,15,-145.04,1676941260,2.649549961,0.010689974
1.67694E+18,-11,13,-143.08,1676941260,2.649770021,0.00022006
1.67694E+18,-13,12,-145.04,1676941260,2.681099892,0.03132987
1.67694E+18,-9,13,-143.08,1676941260,2.681509972,0.00041008
1.67694E+18,-9,15,-145.04,1676941260,2.692219973,0.010710001
1.67694E+18,-9,12,-145.04,1676941260,2.692589998,0.000370026
1.67694E+18,-12,10,-145.04,1676941260,2.697929859,0.005339861
1.67694E+18,-12,10,-148.96,1676941260,2.698279858,0.000349998
1.67694E+18,-12,10,-147,1676941260,2.698430061,0.000150204
