%time,field.mx,field.my,field.fz,field.t,%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time
,,,,,1676941274518569400,-0.96630859375,0.04931640625,-0.22607421875,-0.1145038167938931,-0.4809160305343511,-0.099236641221374,0.0,1676941273.574311
,,,,,1676941274518673700,-0.96337890625,0.03515625,-0.240966796875,-0.1145038167938931,-0.4809160305343511,-0.0839694656488549,0.0,1676941273.589153
,,,,,1676941274519012300,-0.961181640625,0.049072265625,-0.235595703125,-0.1297709923664122,-0.4503816793893129,-0.0687022900763358,0.0,1676941273.6044438
,,,,,1676941274519246600,-0.96240234375,0.033447265625,-0.218994140625,-0.1374045801526717,-0.4503816793893129,-0.0458015267175572,0.0,1676941273.6195588
,,,,,1676941274519323600,-0.96630859375,0.03515625,-0.223876953125,-0.1374045801526717,-0.4274809160305343,-0.0381679389312977,0.0,1676941273.6343236
,,,,,1676941274519422000,-0.966552734375,0.05224609375,-0.23046875,-0.0916030534351145,-0.4351145038167939,-0.0763358778625954,0.0,1676941273.649191
,,,,,1676941274667759300,-0.96142578125,0.050537109375,-0.220703125,-0.1450381679389313,-0.4427480916030534,-0.0839694656488549,0.0,1676941273.6722274
,,,,,1676941274667796500,-0.96484375,0.049560546875,-0.224365234375,-0.1603053435114503,-0.3969465648854962,-0.0687022900763358,0.0,1676941273.6869066
,,,,,1676941274667817000,-0.95849609375,0.049072265625,-0.24560546875,-0.1755725190839694,-0.3969465648854962,-0.1221374045801526,0.0,1676941273.7093885
,,,,,1676941274667850500,-0.96142578125,0.0556640625,-0.206787109375,-0.1526717557251908,-0.366412213740458,-0.1450381679389313,0.0,1676941273.7240727
,,,,,1676941274667883800,-0.9619140625,0.051025390625,-0.2158203125,-0.2061068702290076,-0.3282442748091603,-0.1603053435114503,0.0,1676941273.7386675
,,,,,1676941274668044700,-0.961669921875,0.0546875,-0.218017578125,-0.1984732824427481,-0.3053435114503817,-0.1145038167938931,0.0,1676941273.7599804
,,,,,1676941274668065300,-0.9599609375,0.05517578125,-0.216796875,-0.1755725190839694,-0.2748091603053435,-0.1450381679389313,0.0,1676941273.7748685
,,,,,1676941274668129600,-0.96240234375,0.050537109375,-0.215087890625,-0.1526717557251908,-0.2442748091603053,-0.1297709923664122,0.0,1676941273.7896776
,,,,,1676941274773471300,-0.96630859375,0.046875,-0.223876953125,-0.1450381679389313,-0.2213740458015267,-0.1068702290076335,0.0,1676941273.813305
,,,,,1676941274773537800,-0.968505859375,0.047607421875,-0.227294921875,-0.1297709923664122,-0.1984732824427481,-0.1221374045801526,0.0,1676941273.8279774
,,,,,1676941274773558500,-0.96630859375,0.04248046875,-0.2265625,-0.1297709923664122,-0.1984732824427481,-0.099236641221374,0.0,1676941273.8425727
,,,,,1676941274773570000,-0.961181640625,0.041259765625,-0.2314453125,-0.1145038167938931,-0.1679389312977099,-0.0763358778625954,0.0,1676941273.8572347
