%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15,field.data16,field.data17,field.data18,field.data19,field.data20,field.data21,field.data22,field.data23,field.data24,field.data25,field.data26,field.data27,field.data28
1676077459650019800,0,77459.0,1.0,2.2985188961029053,3.0292975902557373,-3.1669998168945312,16.0,-3.2240874767303467,6.099089622497559,1.4793403148651123,17.0,-5.655726909637451,-3.4774560928344727,-3.81486177444458,18.0,-26.706947326660156,-14.683269500732422,2.134366035461426,20.0,-14.079219818115234,5.072174072265625,-10.62138843536377,21.0,3.7978475093841553,19.401533126831055,-1.7587379217147827,22.0,-2.157273769378662,8.083873748779297,2.246936798095703
1676077459661181600,0,77459.0,1.0,3.1866543292999268,0.27981191873550415,-1.7182526588439941,16.0,-3.6326494216918945,5.383091449737549,2.4997642040252686,17.0,8.66552734375,2.5890538692474365,20.16278839111328,18.0,0.09387894719839096,-0.7531943917274475,-50.066864013671875,20.0,-10.654582023620605,1.9324231147766113,-10.526089668273926,21.0,2.2853386402130127,13.251123428344727,2.824954032897949,22.0,0.5611573457717896,6.696660995483398,2.749351739883423
1676077459671568300,0,77459.0,1.0,2.7809715270996094,-2.429831027984619,-0.42836689949035645,16.0,2.322416067123413,4.150687217712402,1.6749680042266846,17.0,5.07449197769165,-13.89593505859375,18.714994430541992,18.0,1.5488343238830566,-4.552806377410889,-17.357091903686523,20.0,-4.046730041503906,-2.9753434658050537,-8.170897483825684,21.0,6.405004978179932,4.608325481414795,4.818814277648926,22.0,1.506463885307312,4.257366180419922,0.8665887713432312
1676077459677593100,0,77459.0,1.0,1.7458139657974243,-3.4315595626831055,0.6112147569656372,16.0,5.2109150886535645,-0.0996612086892128,-1.6574171781539917,17.0,0.7988413572311401,-10.650191307067871,0.773400068283081,18.0,-24.087448120117188,8.195070266723633,-1.2157307863235474,20.0,3.118098258972168,1.7991433143615723,-7.250210285186768,21.0,3.372248411178589,5.102239608764648,4.757418632507324,22.0,2.3519413471221924,2.6274657249450684,0.22465050220489502
1676077459696395400,0,77459.0,1.0,2.0170795917510986,-2.7696619033813477,1.666891098022461,16.0,-14.780827522277832,12.284293174743652,2.806985855102539,17.0,-0.4633205831050873,-0.22919952869415283,-4.9128875732421875,18.0,-10.487060546875,-1.518937110900879,-14.943378448486328,20.0,6.464903354644775,7.762710094451904,-2.6825249195098877,21.0,5.703713893890381,5.401183128356934,0.5453957319259644,22.0,1.153666615486145,1.1850370168685913,-0.31769588589668274
1676077459709368300,0,77459.0,1.0,1.058806300163269,-1.3025580644607544,2.4986705780029297,16.0,-7.909677505493164,7.703829765319824,3.6002044677734375,17.0,-2.67214035987854,-0.5405150055885315,-8.723990440368652,18.0,3.6075279712677,-2.486177444458008,-18.90244483947754,20.0,2.7562594413757324,3.2289552688598633,-0.8015843033790588,21.0,1.1920744180679321,0.5185244679450989,-0.7069047689437866,22.0,1.0614734888076782,-0.8755907416343689,0.5218250155448914
1676077459711493500,0,77459.0,1.0,-0.6430507898330688,-0.47230279445648193,1.9223299026489258,16.0,2.0143823623657227,2.217588186264038,0.31179848313331604,17.0,-0.8387817740440369,1.971327543258667,-9.926319122314453,18.0,-6.5389323234558105,0.9163748621940613,-11.263181686401367,20.0,6.995785713195801,-3.7467312812805176,8.136419296264648,21.0,6.124288558959961,9.831271171569824,-0.536927342414856,22.0,0.7649083733558655,-0.5313727259635925,-0.5411251187324524
1676077459722299200,0,77459.0,1.0,-0.7867699265480042,0.8398752808570862,0.29558616876602173,16.0,-0.6411290168762207,7.483673572540283,0.30657312273979187,17.0,1.446678876876831,6.004489898681641,-6.594454288482666,18.0,-9.026213645935059,-1.6961973905563354,-12.307162284851074,20.0,12.506704330444336,5.164144992828369,6.051563739776611,21.0,1.0803977251052856,-0.63145911693573,-1.7016085386276245,22.0,0.07723721116781235,-1.0940097570419312,-0.18322820961475372
1676077459731523900,0,77459.0,1.0,-0.5558000802993774,1.727157473564148,-1.289272665977478,16.0,3.5196452140808105,5.561603546142578,-1.4947867393493652,17.0,1.312912106513977,4.671020030975342,-4.369147777557373,18.0,-3.2526750564575195,-4.658677101135254,-15.056772232055664,20.0,8.779219627380371,18.452110290527344,-0.553247332572937,21.0,2.3789422512054443,1.0699542760849,-0.8620273470878601,22.0,0.34900811314582825,-2.448270082473755,-0.35509783029556274
1676077459735631400,0,77459.0,1.0,-0.5871013402938843,2.3643152713775635,-2.741806745529175,16.0,4.997291088104248,3.5982871055603027,-3.4120006561279297,17.0,2.209580421447754,3.5821337699890137,-2.316786289215088,18.0,-9.363146781921387,-2.400667190551758,-9.345394134521484,20.0,5.507236003875732,6.259389877319336,-0.7136364579200745,21.0,0.8256840705871582,-0.06331650167703629,0.6270785331726074,22.0,0.6252943277359009,-1.8212168216705322,-0.76470947265625
