time,theta,alpha,mx,my,fz
13-49-37-504700,0,,,1.0,-4.0,-160.72
13-49-37-514288,0,,,1.0,-4.0,-160.72
13-49-37-523292,0,,,1.0,-4.0,-160.72
13-49-37-534287,0,,,1.0,-4.0,-160.72
13-49-37-544253,0,,,1.0,-4.0,-160.72
13-49-37-553290,0,,,1.0,-4.0,-160.72
13-49-37-564250,0,,,1.0,-4.0,-160.72
13-49-37-573293,0,,,1.0,-4.0,-160.72
13-49-37-584284,0,,,1.0,-4.0,-160.72
13-49-37-594298,0,,,1.0,-4.0,-160.72
13-49-37-604261,0,,,1.0,-4.0,-160.72
13-49-37-613771,0,,,1.0,-4.0,-160.72
13-49-37-625807,0,,,1.0,-4.0,-160.72
13-49-37-634772,0,,,1.0,-4.0,-160.72
13-49-37-644771,0,,,1.0,-4.0,-160.72
13-49-37-653771,0,,,1.0,-4.0,-160.72
13-49-37-663772,0,,,1.0,-4.0,-160.72
13-49-37-673775,0,,,1.0,-4.0,-160.72
