time,index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
13-40-41-049422,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-059422,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-068425,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-079424,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-089423,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-098428,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-108934,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-118939,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-129939,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-140936,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-149970,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-158984,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-168939,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-180935,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-189934,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-198941,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-209452,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-219454,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-229451,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-240451,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-249452,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-258452,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-268454,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-279452,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-41-288456,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-41-298465,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-41-308976,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-41-318974,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-41-327973,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-338971,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-348971,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-358973,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-368970,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-378971,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-387971,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-397975,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-408490,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-418493,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-428527,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-439526,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-449531,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-459490,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-468527,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-479527,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-488526,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-498572,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-41-509156,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-41-518156,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-41-528157,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-41-539162,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-41-549123,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-558162,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-568154,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-579119,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-590118,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-598129,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-608638,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-618643,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-628680,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-639676,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-648678,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-659166,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-669087,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-679087,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-689087,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-698094,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-708619,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-719615,4.3 0,[0.],[0.],[0.],[0.],1.0,-3.0,-178.35999999999999
13-40-41-728619,4.3 0,[0.],[0.],[0.],[0.],1.0,-3.0,-178.35999999999999
13-40-41-738652,4.3 0,[0.],[0.],[0.],[0.],1.0,-3.0,-178.35999999999999
13-40-41-748653,4.3 0,[0.],[0.],[0.],[0.],1.0,-3.0,-178.35999999999999
13-40-41-759616,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-769617,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-779615,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-788615,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-798621,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-810242,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-818243,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-828244,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-838249,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-849245,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-859249,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-869242,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-41-878249,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-41-889249,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-41-898290,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-41-908886,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-41-919847,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-41-928848,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-938883,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-948946,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-958888,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-968881,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-978884,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-989881,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-41-998888,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-009476,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-019476,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-028477,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-039479,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-049476,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-059476,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-069441,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-079438,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-088571,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-099563,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-109142,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-118143,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-128145,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-138177,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-148178,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-159179,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-169145,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-179140,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-189141,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-198186,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-208778,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-220742,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-228774,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-238777,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-249781,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-259738,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-269739,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-278738,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-289737,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-298744,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-42-309252,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-42-320254,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-42-329254,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-42-339253,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-42-349254,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-42-359288,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-42-369291,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-42-378293,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-42-389254,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-42-398331,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-42-408918,4.3 0,[0.],[0.],[0.],[0.],2.0,-4.0,-178.35999999999999
13-40-42-418924,4.3 0,[0.],[0.],[0.],[0.],2.0,-4.0,-178.35999999999999
13-40-42-428916,4.3 0,[0.],[0.],[0.],[0.],2.0,-4.0,-178.35999999999999
13-40-42-438918,4.3 0,[0.],[0.],[0.],[0.],2.0,-4.0,-178.35999999999999
13-40-42-449883,4.3 0,[0.],[0.],[0.],[0.],2.0,-4.0,-178.35999999999999
13-40-42-458886,4.3 0,[0.],[0.],[0.],[0.],2.0,-4.0,-178.35999999999999
13-40-42-468884,4.3 0,[0.],[0.],[0.],[0.],2.0,-4.0,-178.35999999999999
13-40-42-478920,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-42-488919,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-42-498925,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-42-509397,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-42-519397,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-529397,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-538398,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-548399,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-559397,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-570399,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-579403,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-588399,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-42-598440,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-42-609021,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-42-618023,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-176.4
13-40-42-628023,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-638242,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-648455,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-659455,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-669455,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-678455,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-688495,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-698535,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-709006,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-718006,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-730006,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-739006,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-748006,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-759007,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-769009,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-780009,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-789008,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-798016,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-808528,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-819526,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-830527,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-839528,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-848565,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-858565,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-869562,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-878565,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-889527,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-898534,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-909044,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-918088,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-929082,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-939080,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-949045,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-958048,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-968087,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-978048,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-989046,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-42-998052,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-43-008159,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-43-019159,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-43-028162,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-43-038161,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-43-049160,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-43-060158,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
13-40-43-068158,4.3 0,[0.],[0.],[0.],[0.],1.0,-4.0,-178.35999999999999
