time,theta,alpha,mx,my,fz
13-44-42-648179,4,.,1.0,-4.0,-168.56
13-44-42-659179,4,.,1.0,-4.0,-168.56
13-44-42-669177,4,.,1.0,-4.0,-168.56
13-44-42-678179,4,.,1.0,-4.0,-168.56
13-44-42-689178,4,.,1.0,-4.0,-168.56
13-44-42-699177,4,.,1.0,-4.0,-168.56
13-44-42-708181,4,.,1.0,-4.0,-168.56
13-44-42-719183,4,.,1.0,-4.0,-168.56
13-44-42-728697,4,.,1.0,-4.0,-168.56
13-44-42-739698,4,.,1.0,-4.0,-170.52
13-44-42-748696,4,.,1.0,-4.0,-170.52
13-44-42-757699,4,.,1.0,-4.0,-170.52
13-44-42-769699,4,.,1.0,-4.0,-170.52
13-44-42-778697,4,.,1.0,-4.0,-170.52
13-44-42-788696,4,.,1.0,-4.0,-170.52
13-44-42-797732,4,.,1.0,-4.0,-168.56
13-44-42-808702,4,.,1.0,-4.0,-168.56
13-44-42-817703,4,.,1.0,-4.0,-168.56
13-44-42-828210,4,.,1.0,-4.0,-168.56
13-44-42-840210,4,.,1.0,-4.0,-168.56
13-44-42-848215,4,.,1.0,-4.0,-168.56
13-44-42-858215,4,.,1.0,-4.0,-168.56
13-44-42-868248,4,.,1.0,-4.0,-168.56
13-44-42-878248,4,.,1.0,-4.0,-168.56
13-44-42-888249,4,.,1.0,-4.0,-168.56
13-44-42-898250,4,.,1.0,-4.0,-168.56
13-44-42-909223,4,.,1.0,-4.0,-168.56
13-44-42-919220,4,.,1.0,-4.0,-168.56
13-44-42-928748,4,.,1.0,-4.0,-168.56
13-44-42-937782,4,.,1.0,-4.0,-168.56
13-44-42-948747,4,.,1.0,-4.0,-168.56
13-44-42-958743,4,.,1.0,-4.0,-168.56
13-44-42-967745,4,.,1.0,-4.0,-168.56
13-44-42-978746,4,.,1.0,-4.0,-168.56
13-44-42-987767,4,.,1.0,-4.0,-168.56
13-44-42-997780,4,.,1.0,-4.0,-168.56
13-44-43-007781,4,.,1.0,-4.0,-168.56
13-44-43-017825,4,.,1.0,-4.0,-168.56
13-44-43-028415,4,.,1.0,-4.0,-168.56
13-44-43-039377,4,.,1.0,-4.0,-168.56
13-44-43-048377,4,.,1.0,-4.0,-168.56
13-44-43-058379,4,.,1.0,-4.0,-168.56
13-44-43-068413,4,.,1.0,-4.0,-168.56
13-44-43-079031,4,.,1.0,-4.0,-168.56
13-44-43-088447,4,.,1.0,-4.0,-168.56
13-44-43-098453,4,.,1.0,-4.0,-168.56
13-44-43-109413,4,.,1.0,-4.0,-168.56
13-44-43-118414,4,.,1.0,-4.0,-168.56
13-44-43-129006,4,.,1.0,-4.0,-168.56
13-44-43-138042,4,.,1.0,-4.0,-168.56
13-44-43-148042,4,.,1.0,-4.0,-168.56
13-44-43-159009,4,.,1.0,-4.0,-168.56
