time,theta,alpha,mx,my,fz
14-08-10-803466,['0 0'],1.0,-16.0,-5.88
14-08-10-813525,['0 0'],1.0,-16.0,-5.88
14-08-10-823478,['0 0'],1.0,-16.0,-5.88
14-08-10-833528,['0 0'],1.0,-16.0,-5.88
14-08-10-843510,['0 0'],1.0,-16.0,-5.88
14-08-10-853502,['0 0'],1.0,-16.0,-5.88
14-08-10-863546,['0 0'],1.0,-16.0,-5.88
14-08-10-874140,['0 0'],1.0,-16.0,-5.88
14-08-10-885092,['0 0'],1.0,-16.0,-5.88
14-08-10-894095,['0 0'],1.0,-16.0,-5.88
14-08-10-905092,['0 0'],1.0,-16.0,-5.88
14-08-10-914093,['0 0'],1.0,-16.0,-5.88
14-08-10-924094,['0 0'],1.0,-16.0,-3.92
14-08-10-935093,['0 0'],1.0,-16.0,-3.92
14-08-10-944095,['0 0'],1.0,-16.0,-3.92
14-08-10-955096,['0 0'],1.0,-16.0,-3.92
14-08-10-964097,['0 0'],1.0,-16.0,-3.92
14-08-10-974617,['0 0'],1.0,-16.0,-3.92
14-08-10-983616,['0 0'],1.0,-16.0,-3.92
14-08-10-993622,['0 0'],1.0,-16.0,-3.92
14-08-11-004614,['0 0'],1.0,-16.0,-3.92
14-08-11-013618,['0 0'],1.0,-16.0,-3.92
14-08-11-024606,['0 0'],1.0,-16.0,-3.92
14-08-11-034607,['0 0'],1.0,-16.0,-3.92
14-08-11-043607,['0 0'],1.0,-16.0,-3.92
14-08-11-054605,['0 0'],1.0,-16.0,-3.92
14-08-11-063625,['0 0'],1.0,-16.0,-3.92
14-08-11-074148,['0 0'],1.0,-16.0,-3.92
14-08-11-084152,['0 0'],1.0,-16.0,-3.92
14-08-11-094477,['0 0'],1.0,-16.0,-3.92
14-08-11-104162,['0 0'],1.0,-16.0,-3.92
14-08-11-114157,['0 0'],1.0,-16.0,-3.92
14-08-11-125160,['0 0'],1.0,-16.0,-3.92
14-08-11-134215,['0 0'],1.0,-16.0,-3.92
14-08-11-145149,['0 0'],1.0,-16.0,-3.92
14-08-11-155148,['0 0'],1.0,-16.0,-3.92
14-08-11-164151,['0 0'],1.0,-16.0,-3.92
14-08-11-174349,['0 0'],1.0,-16.0,-5.88
14-08-11-184344,['0 0'],1.0,-16.0,-5.88
14-08-11-193896,['0 0'],1.0,-16.0,-5.88
14-08-11-204886,['0 0'],1.0,-16.0,-5.88
14-08-11-214886,['0 0'],1.0,-16.0,-5.88
14-08-11-223896,['0 0'],1.0,-16.0,-5.88
14-08-11-234886,['0 0'],1.0,-16.0,-5.88
14-08-11-243898,['0 0'],1.0,-16.0,-3.92
14-08-11-254886,['0 0'],1.0,-16.0,-3.92
14-08-11-263904,['0 0'],1.0,-16.0,-3.92
14-08-11-274413,['0 0'],1.0,-16.0,-3.92
14-08-11-283413,['0 0'],1.0,-16.0,-3.92
14-08-11-294413,['0 0'],1.0,-16.0,-3.92
14-08-11-303414,['0 0'],1.0,-16.0,-3.92
14-08-11-314413,['0 0'],1.0,-16.0,-3.92
14-08-11-323413,['0 0'],1.0,-16.0,-3.92
14-08-11-334413,['0 0'],1.0,-16.0,-3.92
14-08-11-343413,['0 0'],1.0,-16.0,-3.92
14-08-11-354413,['0 0'],1.0,-16.0,-3.92
14-08-11-363417,['0 0'],1.0,-16.0,-3.92
14-08-11-373417,['0 0'],1.0,-16.0,-3.92
14-08-11-383602,['0 0'],1.0,-16.0,-3.92
14-08-11-393605,['0 0'],1.0,-16.0,-3.92
14-08-11-404601,['0 0'],1.0,-16.0,-3.92
14-08-11-413601,['0 0'],1.0,-16.0,-3.92
14-08-11-423601,['0 0'],1.0,-16.0,-3.92
14-08-11-434602,['0 0'],1.0,-16.0,-3.92
14-08-11-443645,['0 0'],1.0,-16.0,-3.92
14-08-11-454636,['0 0'],1.0,-17.0,-3.92
14-08-11-464604,['0 0'],1.0,-17.0,-3.92
14-08-11-474109,['0 0'],1.0,-17.0,-3.92
14-08-11-484113,['0 0'],1.0,-17.0,-3.92
14-08-11-494115,['0 0'],1.0,-17.0,-3.92
14-08-11-505114,['0 0'],1.0,-17.0,-3.92
14-08-11-515113,['0 0'],2.0,-16.0,-5.88
14-08-11-524118,['0 0'],2.0,-16.0,-5.88
14-08-11-534151,['0 0'],2.0,-16.0,-5.88
14-08-11-545114,['0 0'],2.0,-16.0,-5.88
14-08-11-554114,['0 0'],2.0,-16.0,-5.88
14-08-11-564119,['0 0'],1.0,-16.0,-3.92
14-08-11-574629,['0 0'],1.0,-16.0,-3.92
14-08-11-584633,['0 0'],1.0,-16.0,-3.92
14-08-11-595630,['0 0'],1.0,-16.0,-3.92
14-08-11-603634,['0 0'],1.0,-16.0,-3.92
