time,theta,alpha,mx,my,fz
13-46-37-896941,0.0,0.0,1.0,-4.0,-170.52
13-46-37-907902,0.0,0.0,1.0,-4.0,-170.52
13-46-37-916938,0.0,0.0,1.0,-4.0,-170.52
13-46-37-927905,0.0,0.0,1.0,-4.0,-170.52
13-46-37-936913,0.0,0.0,1.0,-4.0,-170.52
13-46-37-946985,0.0,0.0,1.0,-4.0,-170.52
13-46-37-957984,0.0,0.0,1.0,-4.0,-170.52
13-46-37-967018,0.0,0.0,1.0,-4.0,-170.52
13-46-37-977982,0.0,0.0,1.0,-4.0,-170.52
13-46-37-986982,0.0,0.0,1.0,-4.0,-170.52
13-46-37-997980,0.0,0.0,1.0,-4.0,-170.52
13-46-38-007491,0.0,0.0,1.0,-4.0,-170.52
13-46-38-017494,0.0,0.0,1.0,-4.0,-170.52
13-46-38-028497,0.0,0.0,1.0,-4.0,-170.52
13-46-38-037498,0.0,0.0,1.0,-4.0,-170.52
13-46-38-048008,0.0,0.0,1.0,-4.0,-170.52
13-46-38-057010,0.0,0.0,1.0,-4.0,-170.52
13-46-38-067044,0.0,0.0,1.0,-4.0,-170.52
13-46-38-078007,0.0,0.0,1.0,-4.0,-170.52
13-46-38-088006,0.0,0.0,1.0,-4.0,-170.52
13-46-38-097007,0.0,0.0,1.0,-4.0,-170.52
13-46-38-108007,0.0,0.0,1.0,-4.0,-170.52
13-46-38-117010,0.0,0.0,1.0,-4.0,-170.52
13-46-38-127044,0.0,0.0,1.0,-4.0,-170.52
13-46-38-137050,0.0,0.0,1.0,-4.0,-170.52
13-46-38-147608,0.0,0.0,1.0,-4.0,-170.52
13-46-38-157610,0.0,0.0,1.0,-4.0,-170.52
13-46-38-168606,0.0,0.0,1.0,-4.0,-170.52
13-46-38-177608,0.0,0.0,1.0,-4.0,-170.52
13-46-38-188608,0.0,0.0,1.0,-4.0,-170.52
13-46-38-198608,0.0,0.0,1.0,-4.0,-170.52
13-46-38-207609,0.0,0.0,1.0,-4.0,-170.52
13-46-38-218607,0.0,0.0,1.0,-4.0,-170.52
13-46-38-228612,0.0,0.0,1.0,-4.0,-170.52
13-46-38-237612,0.0,0.0,1.0,-4.0,-170.52
13-46-38-248126,0.0,0.0,1.0,-4.0,-170.52
13-46-38-258124,0.0,0.0,1.0,-4.0,-170.52
13-46-38-268125,0.0,0.0,1.0,-4.0,-170.52
13-46-38-278124,0.0,0.0,1.0,-4.0,-170.52
13-46-38-287125,0.0,0.0,1.0,-4.0,-170.52
13-46-38-297126,0.0,0.0,1.0,-4.0,-170.52
13-46-38-307127,0.0,0.0,1.0,-4.0,-170.52
13-46-38-317128,0.0,0.0,1.0,-4.0,-170.52
13-46-38-328163,0.0,0.0,1.0,-4.0,-170.52
13-46-38-337170,0.0,0.0,1.0,-4.0,-170.52
13-46-38-347681,0.0,0.0,1.0,-4.0,-170.52
13-46-38-357681,0.0,0.0,1.0,-4.0,-170.52
13-46-38-368682,0.0,0.0,1.0,-4.0,-170.52
13-46-38-377719,0.0,0.0,1.0,-4.0,-170.52
13-46-38-388720,0.0,0.0,1.0,-4.0,-170.52
13-46-38-398682,0.0,0.0,1.0,-4.0,-170.52
13-46-38-407682,0.0,0.0,1.0,-4.0,-170.52
13-46-38-418681,0.0,0.0,1.0,-4.0,-170.52
13-46-38-427685,0.0,0.0,1.0,-4.0,-170.52
13-46-38-437694,0.0,0.0,1.0,-4.0,-170.52
13-46-38-448198,0.0,0.0,1.0,-4.0,-170.52
13-46-38-457203,0.0,0.0,1.0,-4.0,-170.52
13-46-38-467241,0.0,0.0,1.0,-4.0,-170.52
13-46-38-478237,0.0,0.0,1.0,-4.0,-170.52
13-46-38-487237,0.0,0.0,1.0,-4.0,-170.52
13-46-38-497236,0.0,0.0,1.0,-4.0,-170.52
13-46-38-507237,0.0,0.0,1.0,-4.0,-170.52
13-46-38-518202,0.0,0.0,1.0,-4.0,-170.52
13-46-38-527205,0.0,0.0,1.0,-4.0,-170.52
13-46-38-538208,0.0,0.0,1.0,-4.0,-170.52
13-46-38-547719,0.0,0.0,1.0,-4.0,-170.52
13-46-38-557720,0.0,0.0,1.0,-4.0,-170.52
13-46-38-567757,0.0,0.0,1.0,-4.0,-170.52
13-46-38-578722,0.0,0.0,1.0,-4.0,-170.52
13-46-38-588718,0.0,0.0,1.0,-4.0,-170.52
13-46-38-597757,0.0,0.0,1.0,-4.0,-170.52
13-46-38-607983,0.0,0.0,1.0,-4.0,-170.52
13-46-38-617999,0.0,0.0,1.0,-4.0,-170.52
13-46-38-628724,0.0,0.0,1.0,-4.0,-170.52
13-46-38-637734,0.0,0.0,1.0,-4.0,-170.52
13-46-38-648237,0.0,0.0,1.0,-4.0,-168.56
13-46-38-657239,0.0,0.0,1.0,-4.0,-168.56
13-46-38-668236,0.0,0.0,1.0,-4.0,-168.56
13-46-38-677238,0.0,0.0,1.0,-4.0,-168.56
13-46-38-688237,0.0,0.0,1.0,-4.0,-168.56
13-46-38-697247,0.0,0.0,1.0,-4.0,-170.52
13-46-38-708246,0.0,0.0,1.0,-4.0,-170.52
13-46-38-717247,0.0,0.0,1.0,-4.0,-170.52
13-46-38-728237,0.0,0.0,1.0,-4.0,-170.52
13-46-38-737257,0.0,0.0,1.0,-4.0,-170.52
13-46-38-747376,0.0,0.0,1.0,-4.0,-170.52
13-46-38-758368,0.0,0.0,2.0,-4.0,-170.52
13-46-38-767380,0.0,0.0,2.0,-4.0,-170.52
13-46-38-778377,0.0,0.0,2.0,-4.0,-170.52
13-46-38-787378,0.0,0.0,2.0,-4.0,-170.52
13-46-38-798371,0.0,0.0,1.0,-4.0,-170.52
13-46-38-807794,0.0,0.0,1.0,-4.0,-170.52
