time,index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
12-58-06-585808,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-595840,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-606839,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-616839,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-625845,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-636839,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-645839,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-655839,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-665874,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-676843,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-685844,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-696362,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-706364,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-716366,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-726368,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-737367,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-747367,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-756400,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-767401,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-776447,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-787029,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-796030,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-806031,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-816994,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-826994,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-835995,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-846029,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-856029,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-867029,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-876073,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-886615,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-895621,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-906620,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-915621,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-926622,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-935622,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-947622,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-956621,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-966621,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-975626,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-986131,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-06-996137,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-007137,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-016174,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-026176,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-037173,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-046173,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-056174,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-067178,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-076181,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-086184,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-096478,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-107478,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-116479,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-127478,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-136516,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-147480,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-157481,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-166483,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-176526,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-187051,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-197050,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
12-58-07-207050,4.6 0,4.6 0,[0.],[0.],[0.],[0.],[0.]
