time,index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
13-34-41-127362,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -3.0, -135.24]
13-34-41-138425,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-41-147396,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-41-158411,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-41-167396,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-41-177399,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-41-187442,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-41-197443,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-41-208044,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-41-218041,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-41-227937,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-41-238194,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-41-247197,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-41-257234,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-41-268197,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-41-277231,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -4.0, -135.24]
13-34-41-287195,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-41-298203,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-41-307756,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-41-316721,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-41-327719,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[2.0, -4.0, -135.24]
13-34-41-336720,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -3.0, -137.2]
13-34-41-347723,4.1 0,4.1 0,[0.],[0.],[0.],[0.],[3.0, -3.0, -137.2]
