time,theta,alpha,mx,my,fz,imu_ang_vel_x,imu_ang_vel_y,imu_ang_vel_z,imu_accel_x,imu_accel_y,imu_accel_z,Right_Hip_x,Right_Hip_y,Right_Hip_z,Right_Knee_x,Right_Knee_y,Right_Knee_z,Right_Ankle_x,Right_Ankle_y,Right_Ankle_z,Right_Ball_of_Foot_x,Right_Ball_of_Foot_y,Right_Ball_of_Foot_z,Left_Hip_x,Left_Hip_y,Left_Hip_z,Left_Knee_x,Left_Knee_y,Left_Knee_z,Left_Ankle_x,Left_Ankle_y,Left_Ankle_z,Left_Ball_of_Foot_x,Left_Ball_of_Foot_y,Left_Ball_of_Foot_z
12-50-11-362914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0503745079040527,-14.717072486877441,-178.66082763671875,-0.0052347141318023205,179.95628356933594,-8.173176765441895,-1.4119653701782227,-154.70648193359375,3.7686798572540283,1.215132290307338e-15,-1.3090559621801046e-15,2.2325755610549947e-16,-2.034026622772217,-140.95394897460938,-173.888916015625,0.02512574940919876,0.14693590998649597,2.8960511684417725,-0.8100240230560303,1.0561007261276245,4.857425689697266,-5.287560821587607e-16,2.6157328205696087e-15,-0.6900495290756226
12-50-11-372912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.053338050842285,-14.717341423034668,-178.66053771972656,-0.004876779392361641,179.9564208984375,-8.173253059387207,-1.4121756553649902,-154.70718383789062,3.766744613647461,-2.3460762819211764e-15,-1.198638547121047e-15,-3.2982962687247983e-16,-2.03373122215271,-140.95510864257812,-173.88795471191406,0.02563059888780117,0.14754420518875122,2.894259452819824,-0.811426043510437,1.0573909282684326,4.856728553771973,3.3972128292447147e-15,3.89680556702951e-15,-0.7090539932250977
12-50-11-381945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.052855968475342,-14.71862506866455,-178.6605682373047,-0.004961305297911167,179.9580078125,-8.173849105834961,-1.4119763374328613,-154.70765686035156,3.7684195041656494,2.473311006752376e-15,1.2392518711177593e-15,2.9627460195545794e-16,-2.0338401794433594,-140.95603942871094,-173.8870391845703,0.025424666702747345,0.1480802744626999,2.89342999458313,-0.810348629951477,1.0585225820541382,4.856101989746094,2.8833818911330484e-15,-8.253714031172517e-16,-0.7092914581298828
12-50-11-392911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0534753799438477,-14.718338966369629,-178.6605987548828,-0.005350976251065731,179.95901489257812,-8.174376487731934,-1.412493109703064,-154.70986938476562,3.7691447734832764,2.9957238709273862e-15,1.2862090483729328e-15,-2.697927521342627e-16,-2.0333046913146973,-140.95716857910156,-173.88604736328125,0.026114538311958313,0.15087160468101501,2.8929295539855957,-0.8095362782478333,1.0557429790496826,4.855464458465576,4.15952088243343e-15,3.0023324219818643e-15,-0.7122257947921753
12-50-11-401915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0530080795288086,-14.72010326385498,-178.65866088867188,-0.003285796847194433,179.9598846435547,-8.173635482788086,-1.413672924041748,-154.7091064453125,3.7690320014953613,2.288233672502601e-15,9.67030516705041e-16,3.624730590497989e-17,-2.033694267272949,-140.95352172851562,-173.88558959960938,0.025296173989772797,0.14750082790851593,2.894350528717041,-0.8109326362609863,1.057096242904663,4.8593902587890625,-2.9850963602964234e-15,-9.771210296232683e-15,-0.7062457203865051
12-50-11-411917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0511891841888428,-14.721623420715332,-178.6616668701172,-0.0040525952354073524,179.9588165283203,-8.175498008728027,-1.411428689956665,-154.70864868164062,3.7692973613739014,2.193299278565523e-15,-1.3720754252140614e-15,2.784243355041392e-16,-2.034339666366577,-140.9550018310547,-173.8872528076172,0.02700691856443882,0.1513098180294037,2.893260955810547,-0.8113484978675842,1.0560718774795532,4.856046676635742,-5.062849928998187e-17,1.8435098232168082e-15,-0.7081090807914734
12-50-11-421991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.055016040802002,-14.719696044921875,-178.66026306152344,-0.0017708068480715156,179.95941162109375,-8.175387382507324,-1.4118109941482544,-154.7087860107422,3.769876718521118,-4.224452681164491e-16,-1.809954427722872e-16,-1.2472740142820864e-15,-2.032775402069092,-140.95571899414062,-173.88742065429688,0.02693977765738964,0.1500914990901947,2.89285945892334,-0.8136391639709473,1.0569844245910645,4.856595039367676,-2.0361301976201196e-15,1.600664100810461e-15,-0.7062039375305176
12-50-11-432571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0540401935577393,-14.720942497253418,-178.66070556640625,-0.0022994522005319595,179.9580841064453,-8.17479133605957,-1.4114162921905518,-154.70680236816406,3.768108606338501,-2.215610761670912e-15,-6.306625498684766e-17,1.3274724701566628e-15,-2.033817768096924,-140.9546661376953,-173.8866729736328,0.027906250208616257,0.15069688856601715,2.891578197479248,-0.8141648769378662,1.0563502311706543,4.856073379516602,-1.5252501105384505e-15,3.308439117691254e-15,-0.706364095211029
12-50-11-443542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.052424192428589,-14.721911430358887,-178.66078186035156,-0.0033848965540528297,179.95791625976562,-8.175185203552246,-1.411872148513794,-154.70664978027344,3.7683801651000977,-9.01118753793566e-16,2.810918540132798e-16,2.2297819405158316e-16,-2.035334587097168,-140.9552001953125,-173.8862762451172,0.02914334461092949,0.15145602822303772,2.8908345699310303,-0.8141348361968994,1.0575536489486694,4.856427192687988,2.546942945582482e-15,1.2310090758706725e-15,-0.7053292989730835
12-50-11-453540,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.051985502243042,-14.721073150634766,-178.66078186035156,-0.0042549422942101955,179.95700073242188,-8.17608642578125,-1.412238597869873,-154.70571899414062,3.768428325653076,-1.6147469764706294e-15,-5.72082029169055e-16,2.6847299870182412e-17,-2.0337183475494385,-140.95513916015625,-173.88600158691406,0.029274145141243935,0.15204864740371704,2.8921077251434326,-0.8125626444816589,1.0577046871185303,4.858404636383057,-2.805680806024333e-15,2.3697392060939093e-15,-0.7006621360778809
