time,index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
13-37-03-512070,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-522579,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-532582,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-542976,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-553009,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-562010,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-573010,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-582021,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-593008,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-604010,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-612015,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-622533,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-632539,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-644533,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-653534,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-662536,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-672536,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-682537,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-693533,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-702537,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-712540,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-722685,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-731686,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-741722,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-752684,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-761689,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-771693,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-782684,4.4 0,[0.],[0.],[0.],[0.],3.0,-5.0,-168.56
13-37-03-792682,4.4 0,[0.],[0.],[0.],[0.],3.0,-5.0,-168.56
13-37-03-802684,4.4 0,[0.],[0.],[0.],[0.],3.0,-5.0,-168.56
13-37-03-812688,4.4 0,[0.],[0.],[0.],[0.],3.0,-5.0,-168.56
13-37-03-823200,4.4 0,[0.],[0.],[0.],[0.],3.0,-5.0,-168.56
13-37-03-832203,4.4 0,[0.],[0.],[0.],[0.],3.0,-5.0,-168.56
13-37-03-843198,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-853200,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-863199,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-873198,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-03-883199,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-893198,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-903200,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-912205,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-922721,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-931721,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-942719,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-952720,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-962726,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-972725,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-981823,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-03-993087,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-002085,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-012089,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-022599,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-033600,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-044600,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-053600,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-04-063599,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-04-073599,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-04-082602,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-168.56
13-37-04-093600,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-103598,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-112603,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-123130,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-133127,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-142128,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-154126,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-163127,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-173126,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-183126,4.4 0,[0.],[0.],[0.],[0.],2.0,-6.0,-168.56
13-37-04-192128,4.4 0,[0.],[0.],[0.],[0.],3.0,-5.0,-168.56
13-37-04-203127,4.4 0,[0.],[0.],[0.],[0.],3.0,-5.0,-168.56
13-37-04-212132,4.4 0,[0.],[0.],[0.],[0.],3.0,-5.0,-168.56
13-37-04-223642,4.4 0,[0.],[0.],[0.],[0.],3.0,-5.0,-168.56
13-37-04-233644,4.4 0,[0.],[0.],[0.],[0.],3.0,-5.0,-168.56
13-37-04-243642,4.4 0,[0.],[0.],[0.],[0.],3.0,-5.0,-168.56
13-37-04-253642,4.4 0,[0.],[0.],[0.],[0.],3.0,-5.0,-168.56
13-37-04-263642,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-273647,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-282647,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
13-37-04-292684,4.4 0,[0.],[0.],[0.],[0.],3.0,-6.0,-170.52
