index,ankle_angle,ankle_angle,ankle_angle,imu_ang_vel,imu_ang_vel,imu_ang_vel
34443.0,0.001,0.001,0.001,0.001,0.001,0.001
34444.0,0.001,0.001,0.001,0.001,0.001,0.001
34445.0,0.001,0.001,0.001,0.001,0.001,0.001
34446.0,0.001,0.001,0.001,0.001,0.001,0.001
34447.0,0.001,0.001,0.001,0.001,0.001,0.001
34448.0,0.001,0.001,0.001,0.001,0.001,0.001
34449.0,0.001,0.001,0.001,0.001,0.001,0.001
34450.0,0.001,0.001,0.001,0.001,0.001,0.001
34451.0,0.001,0.001,0.001,0.001,0.001,0.001
34452.0,0.001,0.001,0.001,0.001,0.001,0.001
34453.0,0.001,0.001,0.001,0.001,0.001,0.001
34454.0,0.001,0.001,0.001,0.001,0.001,0.001
34455.0,0.001,0.001,0.001,0.001,0.001,0.001
34456.0,0.001,0.001,0.001,0.001,0.001,0.001
34457.0,0.001,0.001,0.001,0.001,0.001,0.001
34458.0,0.001,0.001,0.001,0.001,0.001,0.001
34459.0,0.001,0.001,0.001,0.001,0.001,0.001
34460.0,0.001,0.001,0.001,0.001,0.001,0.001
34461.0,0.001,0.001,0.001,0.001,0.001,0.001
34462.0,0.001,0.001,0.001,0.001,0.001,0.001
34463.0,0.001,0.001,0.001,0.001,0.001,0.001
34464.0,0.001,0.001,0.001,0.001,0.001,0.001
34465.0,0.001,0.001,0.001,0.001,0.001,0.001
34466.0,0.001,0.001,0.001,0.001,0.001,0.001
34467.0,0.001,0.001,0.001,0.001,0.001,0.001
34468.0,0.001,0.001,0.001,0.001,0.001,0.001
34469.0,0.001,0.001,0.001,0.001,0.001,0.001
34470.0,0.001,0.001,0.001,0.001,0.001,0.001
34471.0,0.001,0.001,0.001,0.001,0.001,0.001
34472.0,0.001,0.001,0.001,0.001,0.001,0.001
34473.0,0.001,0.001,0.001,0.001,0.001,0.001
34474.0,0.001,0.001,0.001,0.001,0.001,0.001
34475.0,0.001,0.001,0.001,0.001,0.001,0.001
34476.0,0.001,0.001,0.001,0.001,0.001,0.001
34477.0,0.001,0.001,0.001,0.001,0.001,0.001
34478.0,0.001,0.001,0.001,0.001,0.001,0.001
34479.0,0.001,0.001,0.001,0.001,0.001,0.001
34480.0,0.001,0.001,0.001,0.001,0.001,0.001
34481.0,0.001,0.001,0.001,0.001,0.001,0.001
34482.0,0.001,0.001,0.001,0.001,0.001,0.001
34483.0,0.001,0.001,0.001,0.001,0.001,0.001
34484.0,0.001,0.001,0.001,0.001,0.001,0.001
34485.0,0.001,0.001,0.001,0.001,0.001,0.001
34486.0,0.001,0.001,0.001,0.001,0.001,0.001
34487.0,0.001,0.001,0.001,0.001,0.001,0.001
34488.0,0.001,0.001,0.001,0.001,0.001,0.001
34489.0,0.001,0.001,0.001,0.001,0.001,0.001
34490.0,0.001,0.001,0.001,0.001,0.001,0.001
34491.0,0.001,0.001,0.001,0.001,0.001,0.001
34492.0,0.001,0.001,0.001,0.001,0.001,0.001
34493.0,0.001,0.001,0.001,0.001,0.001,0.001
34494.0,0.001,0.001,0.001,0.001,0.001,0.001
34495.0,0.001,0.001,0.001,0.001,0.001,0.001
34496.0,0.001,0.001,0.001,0.001,0.001,0.001
34497.0,0.001,0.001,0.001,0.001,0.001,0.001
34498.0,0.001,0.001,0.001,0.001,0.001,0.001
34499.0,0.001,0.001,0.001,0.001,0.001,0.001
34500.0,86.54518,86.54518,86.54518,77.55505,77.55505,77.55505
34501.0,87.01675,87.01675,87.01675,77.76918,77.76918,77.76918
34502.0,87.45775,87.45775,87.45775,77.97277,77.97277,77.97277
34503.0,87.867714,87.867714,87.867714,78.16572,78.16572,78.16572
34504.0,88.24618,88.24618,88.24618,78.347946,78.347946,78.347946
34505.0,88.59271,88.59271,88.59271,78.51939,78.51939,78.51939
34506.0,88.90694,88.90694,88.90694,78.67996,78.67996,78.67996
34507.0,89.1885,89.1885,89.1885,78.8296,78.8296,78.8296
34508.0,89.43707,89.43707,89.43707,78.96824,78.96824,78.96824
34509.0,89.65239,89.65239,89.65239,79.095825,79.095825,79.095825
34510.0,89.8342,89.8342,89.8342,79.2123,79.2123,79.2123
34511.0,89.9823,89.9823,89.9823,79.31761,79.31761,79.31761
34512.0,90.09652,90.09652,90.09652,79.41172,79.41172,79.41172
34513.0,90.17673,90.17673,90.17673,79.49458,79.49458,79.49458
34514.0,90.22284,90.22284,90.22284,79.56616,79.56616,79.56616
34515.0,90.2348,90.2348,90.2348,79.62643,79.62643,79.62643
34516.0,90.21259,90.21259,90.21259,79.67536,79.67536,79.67536
34517.0,90.15624,90.15624,90.15624,79.71293,79.71293,79.71293
34518.0,90.06582,90.06582,90.06582,79.73913,79.73913,79.73913
34519.0,89.94142,89.94142,89.94142,79.75394,79.75394,79.75394
34520.0,89.78319,89.78319,89.78319,79.757355,79.757355,79.757355
34521.0,89.5913,89.5913,89.5913,79.74938,79.74938,79.74938
34522.0,89.36598,89.36598,89.36598,79.73001,79.73001,79.73001
34523.0,89.107475,89.107475,89.107475,79.699265,79.699265,79.699265
34524.0,88.816086,88.816086,88.816086,79.65715,79.65715,79.65715
34525.0,88.49213,88.49213,88.49213,79.60368,79.60368,79.60368
34526.0,88.13597,88.13597,88.13597,79.53889,79.53889,79.53889
34527.0,87.74802,87.74802,87.74802,79.46279,79.46279,79.46279
34528.0,87.32869,87.32869,87.32869,79.37543,79.37543,79.37543
34529.0,86.87846,86.87846,86.87846,79.27683,79.27683,79.27683
34530.0,0.001,0.001,0.001,0.001,0.001,0.001
34531.0,0.001,0.001,0.001,0.001,0.001,0.001
34532.0,0.001,0.001,0.001,0.001,0.001,0.001
34533.0,0.001,0.001,0.001,0.001,0.001,0.001
34534.0,0.001,0.001,0.001,0.001,0.001,0.001
34535.0,0.001,0.001,0.001,0.001,0.001,0.001
34536.0,0.001,0.001,0.001,0.001,0.001,0.001
34537.0,0.001,0.001,0.001,0.001,0.001,0.001
34538.0,0.001,0.001,0.001,0.001,0.001,0.001
34539.0,0.001,0.001,0.001,0.001,0.001,0.001
34540.0,0.001,0.001,0.001,0.001,0.001,0.001
34541.0,0.001,0.001,0.001,0.001,0.001,0.001
34542.0,0.001,0.001,0.001,0.001,0.001,0.001
34543.0,0.001,0.001,0.001,0.001,0.001,0.001
34544.0,0.001,0.001,0.001,0.001,0.001,0.001
34545.0,0.001,0.001,0.001,0.001,0.001,0.001
34546.0,0.001,0.001,0.001,0.001,0.001,0.001
34547.0,0.001,0.001,0.001,0.001,0.001,0.001
34548.0,0.001,0.001,0.001,0.001,0.001,0.001
34549.0,0.001,0.001,0.001,0.001,0.001,0.001
34550.0,0.001,0.001,0.001,0.001,0.001,0.001
34551.0,0.001,0.001,0.001,0.001,0.001,0.001
34552.0,0.001,0.001,0.001,0.001,0.001,0.001
34553.0,0.001,0.001,0.001,0.001,0.001,0.001
34554.0,0.001,0.001,0.001,0.001,0.001,0.001
34555.0,0.001,0.001,0.001,0.001,0.001,0.001
34556.0,0.001,0.001,0.001,0.001,0.001,0.001
34557.0,0.001,0.001,0.001,0.001,0.001,0.001
34558.0,0.001,0.001,0.001,0.001,0.001,0.001
34559.0,0.001,0.001,0.001,0.001,0.001,0.001
34560.0,0.001,0.001,0.001,0.001,0.001,0.001
34561.0,0.001,0.001,0.001,0.001,0.001,0.001
34562.0,0.001,0.001,0.001,0.001,0.001,0.001
34563.0,0.001,0.001,0.001,0.001,0.001,0.001
34564.0,0.001,0.001,0.001,0.001,0.001,0.001
34565.0,0.001,0.001,0.001,0.001,0.001,0.001
34566.0,0.001,0.001,0.001,0.001,0.001,0.001
34567.0,0.001,0.001,0.001,0.001,0.001,0.001
34568.0,0.001,0.001,0.001,0.001,0.001,0.001
34569.0,0.001,0.001,0.001,0.001,0.001,0.001
34570.0,0.001,0.001,0.001,0.001,0.001,0.001
34571.0,0.001,0.001,0.001,0.001,0.001,0.001
34572.0,0.001,0.001,0.001,0.001,0.001,0.001
34573.0,0.001,0.001,0.001,0.001,0.001,0.001
34574.0,0.001,0.001,0.001,0.001,0.001,0.001
34575.0,0.001,0.001,0.001,0.001,0.001,0.001
34576.0,0.001,0.001,0.001,0.001,0.001,0.001
34577.0,0.001,0.001,0.001,0.001,0.001,0.001
34578.0,0.001,0.001,0.001,0.001,0.001,0.001
34579.0,0.001,0.001,0.001,0.001,0.001,0.001
34580.0,0.001,0.001,0.001,0.001,0.001,0.001
34581.0,0.001,0.001,0.001,0.001,0.001,0.001
34582.0,0.001,0.001,0.001,0.001,0.001,0.001
34583.0,0.001,0.001,0.001,0.001,0.001,0.001
34584.0,0.001,0.001,0.001,0.001,0.001,0.001
34585.0,0.001,0.001,0.001,0.001,0.001,0.001
34586.0,0.001,0.001,0.001,0.001,0.001,0.001
34587.0,0.001,0.001,0.001,0.001,0.001,0.001
34588.0,0.001,0.001,0.001,0.001,0.001,0.001
34589.0,0.001,0.001,0.001,0.001,0.001,0.001
34590.0,0.001,0.001,0.001,0.001,0.001,0.001
34591.0,0.001,0.001,0.001,0.001,0.001,0.001
34592.0,0.001,0.001,0.001,0.001,0.001,0.001
34593.0,0.001,0.001,0.001,0.001,0.001,0.001
34594.0,0.001,0.001,0.001,0.001,0.001,0.001
34595.0,0.001,0.001,0.001,0.001,0.001,0.001
34596.0,0.001,0.001,0.001,0.001,0.001,0.001
34597.0,0.001,0.001,0.001,0.001,0.001,0.001
34598.0,0.001,0.001,0.001,0.001,0.001,0.001
34599.0,0.001,0.001,0.001,0.001,0.001,0.001
34600.0,94.25188,94.25188,94.25188,60.67442,60.67442,60.67442
34601.0,94.63112,94.63112,94.63112,60.727715,60.727715,60.727715
34602.0,94.985306,94.985306,94.985306,60.77829,60.77829,60.77829
34603.0,95.31414,95.31414,95.31414,60.826138,60.826138,60.826138
34604.0,95.61735,95.61735,95.61735,60.871258,60.871258,60.871258
34605.0,95.894684,95.894684,95.894684,60.913635,60.913635,60.913635
34606.0,96.14592,96.14592,96.14592,60.953274,60.953274,60.953274
34607.0,96.37084,96.37084,96.37084,60.99016,60.99016,60.99016
34608.0,96.56926,96.56926,96.56926,61.0243,61.0243,61.0243
34609.0,96.74101,96.74101,96.74101,61.055676,61.055676,61.055676
34610.0,96.88595,96.88595,96.88595,61.08429,61.08429,61.08429
34611.0,97.00396,97.00396,97.00396,61.110138,61.110138,61.110138
34612.0,97.09494,97.09494,97.09494,61.133213,61.133213,61.133213
34613.0,97.15881,97.15881,97.15881,61.15352,61.15352,61.15352
34614.0,97.195526,97.195526,97.195526,61.171047,61.171047,61.171047
34615.0,97.20504,97.20504,97.20504,61.185795,61.185795,61.185795
34616.0,97.18736,97.18736,97.18736,61.197765,61.197765,61.197765
34617.0,97.1425,97.1425,97.1425,61.20695,61.20695,61.20695
34618.0,97.07049,97.07049,97.07049,61.213356,61.213356,61.213356
34619.0,96.97139,96.97139,96.97139,61.216976,61.216976,61.216976
34620.0,96.84529,96.84529,96.84529,61.21781,61.21781,61.21781
34621.0,96.69229,96.69229,96.69229,61.215862,61.215862,61.215862
34622.0,96.51253,96.51253,96.51253,61.21113,61.21113,61.21113
34623.0,96.30614,96.30614,96.30614,61.203613,61.203613,61.203613
34624.0,96.0733,96.0733,96.0733,61.19331,61.19331,61.19331
34625.0,95.81422,95.81422,95.81422,61.18023,61.18023,61.18023
34626.0,95.52909,95.52909,95.52909,61.164368,61.164368,61.164368
34627.0,95.21817,95.21817,95.21817,61.14573,61.14573,61.14573
34628.0,94.8817,94.8817,94.8817,61.124317,61.124317,61.124317
34629.0,94.519966,94.519966,94.519966,61.10013,61.10013,61.10013
34630.0,0.001,0.001,0.001,0.001,0.001,0.001
34631.0,0.001,0.001,0.001,0.001,0.001,0.001
34632.0,0.001,0.001,0.001,0.001,0.001,0.001
34633.0,0.001,0.001,0.001,0.001,0.001,0.001
34634.0,0.001,0.001,0.001,0.001,0.001,0.001
34635.0,0.001,0.001,0.001,0.001,0.001,0.001
34636.0,0.001,0.001,0.001,0.001,0.001,0.001
34637.0,0.001,0.001,0.001,0.001,0.001,0.001
34638.0,0.001,0.001,0.001,0.001,0.001,0.001
34639.0,0.001,0.001,0.001,0.001,0.001,0.001
34640.0,0.001,0.001,0.001,0.001,0.001,0.001
34641.0,0.001,0.001,0.001,0.001,0.001,0.001
34642.0,0.001,0.001,0.001,0.001,0.001,0.001
34643.0,0.001,0.001,0.001,0.001,0.001,0.001
34644.0,0.001,0.001,0.001,0.001,0.001,0.001
34645.0,0.001,0.001,0.001,0.001,0.001,0.001
34646.0,0.001,0.001,0.001,0.001,0.001,0.001
34647.0,0.001,0.001,0.001,0.001,0.001,0.001
34648.0,0.001,0.001,0.001,0.001,0.001,0.001
34649.0,0.001,0.001,0.001,0.001,0.001,0.001
34650.0,0.001,0.001,0.001,0.001,0.001,0.001
34651.0,0.001,0.001,0.001,0.001,0.001,0.001
34652.0,0.001,0.001,0.001,0.001,0.001,0.001
34653.0,0.001,0.001,0.001,0.001,0.001,0.001
34654.0,0.001,0.001,0.001,0.001,0.001,0.001
34655.0,0.001,0.001,0.001,0.001,0.001,0.001
34656.0,0.001,0.001,0.001,0.001,0.001,0.001
34657.0,0.001,0.001,0.001,0.001,0.001,0.001
34658.0,0.001,0.001,0.001,0.001,0.001,0.001
34659.0,0.001,0.001,0.001,0.001,0.001,0.001
34660.0,0.001,0.001,0.001,0.001,0.001,0.001
34661.0,0.001,0.001,0.001,0.001,0.001,0.001
34662.0,0.001,0.001,0.001,0.001,0.001,0.001
34663.0,0.001,0.001,0.001,0.001,0.001,0.001
34664.0,0.001,0.001,0.001,0.001,0.001,0.001
