%time,field.curr_pos1,field.curr_pos2,field.toff,field.t
1683143891197522200,4471,-2901,-2257,43890.765625
1683143891197568900,4471,-2901,1662,43890.77734375
1683143891197850500,4471,-2901,2142,43890.78515625
1683143891197871400,4471,-2901,2478,43890.796875
1683143891261076700,4471,-2901,1486,43890.80859375
1683143891261121000,4471,-2901,382,43890.81640625
1683143891261151600,4471,-2901,-1017,43890.828125
1683143891261233300,4471,-2901,-2065,43890.8359375
1683143891261582200,4471,-2901,-625,43890.8515625
1683143891261595700,4471,-2901,1982,43890.85546875
1683143891262079500,4471,-2901,-1193,43890.8671875
1683143891323305400,4471,-2901,394,43890.87890625
1683143891323352900,4471,-2901,1766,43890.88671875
1683143891323368400,4471,-2901,-1585,43890.8984375
1683143891323378500,4471,-2901,-253,43890.9140625
1683143891323401100,4471,-2901,2274,43890.91796875
1683143891323632800,4471,-2901,-2229,43890.92578125
1683143891383836300,4471,-2901,-321,43890.94140625
1683143891383873900,4471,-2901,-1626,43890.9453125
1683143891383934300,4471,-2901,-405,43890.95703125
1683143891384002800,4471,-2901,874,43890.96875
1683143891384211700,4472,-2901,1330,43890.9765625
1683143891384522000,4471,-2901,297,43890.98828125
1683143891446734900,4471,-2901,-142,43890.99609375
1683143891446764100,4471,-2901,-438,43891.0078125
1683143891446779200,4471,-2901,1473,43891.015625
1683143891446790600,4471,-2900,457,43891.02734375
1683143891446798400,4471,-2900,1,43891.03515625
1683143891446811200,4471,-2900,497,43891.046875
1683143891510287000,4471,-2899,1881,43891.06640625
1683143891510343100,4471,-2900,625,43891.078125
1683143891510359600,4471,-2899,-270,43891.0859375
1683143891510377000,4471,-2899,-1486,43891.09765625
1683143891510416900,4471,-2899,-250,43891.10546875
1683143891510556600,4471,-2899,-1802,43891.1171875
1683143891577641900,4471,-2899,-1106,43891.12890625
1683143891577669600,4471,-2899,1189,43891.13671875
1683143891577687500,4471,-2899,-1530,43891.1484375
1683143891577715400,4471,-2899,-1806,43891.16015625
1683143891577769900,4471,-2899,694,43891.16796875
1683143891577885100,4471,-2899,1694,43891.17578125
1683143891637860700,4471,-2899,934,43891.19140625
1683143891637881500,4471,-2899,166,43891.1953125
1683143891637886200,4471,-2899,2462,43891.20703125
1683143891637894100,4471,-2899,-2109,43891.22265625
1683143891637898800,4471,-2899,2102,43891.2265625
1683143891637902700,4471,-2899,1494,43891.23828125
1683143891697157600,4471,-2899,58,43891.25390625
1683143891697196600,4471,-2899,-57,43891.2578125
1683143891697211800,4472,-2900,-533,43891.265625
1683143891697227300,4483,-2906,26,43891.27734375
1683143891697254000,4495,-2920,470,43891.2890625
1683143891697502900,4504,-2928,-2053,43891.296875
1683143891764446500,4525,-2952,1950,43891.3125
1683143891764477400,4531,-2958,-1541,43891.31640625
1683143891764508900,4540,-2966,18,43891.328125
