%time,field.curr_pos1,field.curr_pos2,field.toff,field.t
1683145635831563300,1736,-1323,-110,45635.23828125
1683145635831587500,1736,-1323,-498,45635.25
1683145635831594300,1736,-1323,-190,45635.26171875
1683145635831622700,1736,-1323,545,45635.26953125
1683145635831634600,1736,-1323,105,45635.28125
1683145635831654500,1736,-1323,365,45635.2890625
1683145635831661000,1736,-1323,26,45635.30078125
1683145635831680000,1736,-1323,34,45635.30859375
1683145635831751900,1736,-1323,433,45635.3203125
1683145635831840500,1736,-1323,193,45635.328125
1683145635831847400,1736,-1323,125,45635.33984375
1683145635831851800,1736,-1323,-234,45635.3515625
1683145635831872900,1736,-1323,-178,45635.36328125
1683145635831884000,1736,-1323,38,45635.37109375
1683145635831887000,1736,-1323,-318,45635.37890625
1683145635832295500,1736,-1323,-290,45635.390625
1683145635885129300,1736,-1323,313,45635.40234375
1683145635885187700,1736,-1323,229,45635.41015625
1683145635885284400,1736,-1323,749,45635.421875
1683145635885463500,1736,-1323,173,45635.4296875
1683145635885781700,1736,-1323,-194,45635.44140625
1683145636033117400,1736,-1323,-198,45635.44921875
1683145636033402200,1736,-1322,921,45635.4609375
1683145636033578700,1736,-1323,22,45635.46875
1683145636033851000,1736,-1323,-286,45635.48046875
1683145636033952000,1736,-1323,-18,45635.48828125
1683145636033981600,1736,-1323,153,45635.5
1683145636033988400,1736,-1323,-302,45635.51171875
1683145636033995300,1736,-1323,457,45635.51953125
1683145636034001800,1737,-1323,149,45635.53125
1683145636034303200,1737,-1323,-310,45635.5390625
1683145636034477500,1737,-1323,-226,45635.55078125
1683145636035069600,1736,-1323,613,45635.55859375
1683145636035663300,1737,-1323,117,45635.5703125
1683145636035778700,1737,-1323,-330,45635.578125
1683145636035792100,1737,-1323,389,45635.58984375
1683145636083445400,1737,-1323,145,45635.6015625
1683145636083648300,1737,-1323,213,45635.609375
1683145636084093400,1737,-1323,-282,45635.62109375
1683145636084118500,1737,-1323,101,45635.62890625
1683145636084401000,1737,-1323,-366,45635.640625
1683145636179762900,1737,-1323,433,45635.6484375
1683145636179787600,1737,-1323,-202,45635.66015625
1683145636179791000,1737,-1323,38,45635.671875
1683145636179794500,1737,-1323,349,45635.6796875
1683145636179807800,1737,-1323,153,45635.69140625
1683145636179811200,1737,-1323,-286,45635.69921875
1683145636179840200,1737,-1323,-474,45635.7109375
1683145636179851500,1737,-1323,-10,45635.72265625
1683145636180086400,1737,-1323,333,45635.73046875
1683145636180525200,1737,-1323,2,45635.73828125
1683145636326820000,1737,-1323,481,45635.75
1683145636326864800,1737,-1323,161,45635.76171875
1683145636326960900,1737,-1323,-222,45635.76953125
1683145636326968700,1737,-1323,-198,45635.78125
1683145636326973500,1737,-1323,-274,45635.79296875
1683145636326976800,1737,-1323,61,45635.80078125
1683145636326979800,1737,-1323,-486,45635.80859375
1683145636326982800,1737,-1323,18,45635.8203125
1683145636326985700,1737,-1323,-342,45635.828125
1683145636326988700,1737,-1323,361,45635.83984375
1683145636327160000,1737,-1323,-114,45635.8515625
1683145636327163200,1737,-1323,85,45635.859375
1683145636327389900,1737,-1323,3523,45635.87109375
1683145636328043000,1737,-1323,571,45635.8828125
1683145636467040500,1737,-1323,59,45635.890625
1683145636467102800,1737,-1323,-332,45635.8984375
1683145636467367300,1737,-1323,187,45635.91015625
1683145636467390900,1737,-1323,-268,45635.921875
1683145636467402100,1737,-1323,-168,45635.9296875
1683145636467430400,1737,-1323,-40,45635.94140625
1683145636467441800,1737,-1323,-84,45635.94921875
1683145636467448600,1737,-1323,-360,45635.9609375
1683145636467455300,1737,-1323,311,45635.96875
1683145636467459600,1737,-1323,-292,45635.98046875
1683145636467463500,1737,-1323,83,45635.98828125
1683145636467665600,1737,-1323,-304,45636.0
1683145636468121300,1737,-1323,87,45636.01171875
1683145636468749900,1737,-1323,-296,45636.01953125
1683145636517736200,1744,-1325,463,45636.03125
1683145636517776900,1756,-1332,-76,45636.0390625
1683145636517785600,1762,-1342,-332,45636.05078125
1683145636517804000,1770,-1348,287,45636.05859375
1683145636517892000,1781,-1360,339,45636.0703125
1683145636574151000,1796,-1375,-300,45636.078125
1683145636574195200,1808,-1387,-272,45636.08984375
1683145636574224300,1815,-1395,410,45636.1015625
1683145636574233500,1818,-1403,36,45636.109375
1683145636574255400,1816,-1402,-213,45636.12109375
1683145636574292300,1815,-1401,27,45636.12890625
1683145636626251500,1815,-1400,-245,45636.140625
1683145636626302200,1812,-1396,-225,45636.1484375
1683145636626485300,1810,-1393,78,45636.16015625
1683145636626674800,1810,-1395,-49,45636.171875
1683145636626843700,1811,-1394,-245,45636.1796875
1683145636687518900,1810,-1394,19,45636.19140625
1683145636687566200,1810,-1393,158,45636.19921875
1683145636687576000,1809,-1392,-345,45636.2109375
1683145636687657700,1808,-1391,54,45636.21875
1683145636687756500,1808,-1391,98,45636.23046875
1683145636687766100,1808,-1391,94,45636.23828125
1683145636757131100,1808,-1391,-357,45636.25
1683145636757172600,1808,-1391,-345,45636.26171875
1683145636757202900,1807,-1391,-249,45636.26953125
1683145636757297400,1807,-1391,-773,45636.28125
1683145636757359400,1807,-1391,150,45636.2890625
1683145636814698000,1808,-1392,47,45636.30078125
1683145636814749200,1808,-1392,-477,45636.30859375
1683145636814775200,1808,-1392,-285,45636.3203125
1683145636814783700,1808,-1392,54,45636.328125
1683145636814835500,1808,-1392,-289,45636.33984375
1683145636814858600,1807,-1392,338,45636.3515625
1683145636814960100,1808,-1392,11,45636.359375
1683145636815861900,1808,-1393,-301,45636.37109375
1683145636887871600,1808,-1393,146,45636.37890625
1683145636887951400,1808,-1393,-273,45636.390625
1683145636888066300,1808,-1393,15,45636.3984375
1683145636888075900,1808,-1393,182,45636.41015625
1683145636888358200,1808,-1393,-249,45636.421875
1683145636888684300,1808,-1393,11,45636.4296875
1683145636938091900,1808,-1393,-625,45636.44140625
1683145636938137200,1808,-1393,102,45636.44921875
1683145636938259300,1808,-1393,-53,45636.4609375
1683145636938475200,1808,-1393,194,45636.46875
1683145636938619100,1807,-1393,-269,45636.48046875
1683145636938752800,1808,-1393,-605,45636.48828125
1683145637020937100,1808,-1393,27,45636.5
1683145637020990000,1808,-1393,118,45636.51171875
1683145637021017200,1808,-1393,-209,45636.51953125
1683145637021026200,1808,-1393,166,45636.53125
1683145637021093400,1808,-1393,15,45636.5390625
1683145637021180800,1808,-1393,-309,45636.55078125
1683145637021243000,1808,-1393,-37,45636.55859375
1683145637021852800,1808,-1393,47,45636.5703125
1683145637021921800,1808,-1393,150,45636.578125
1683145637077469300,1808,-1393,-1,45636.58984375
1683145637077492800,1808,-1393,114,45636.6015625
1683145637077505400,1808,-1393,102,45636.609375
1683145637077509900,1808,-1393,-449,45636.62109375
1683145637077539100,1808,-1393,218,45636.62890625
1683145637137699300,1808,-1393,-337,45636.640625
1683145637137744500,1808,-1393,214,45636.6484375
1683145637137758000,1808,-1393,-145,45636.66015625
1683145637137763200,1808,-1393,222,45636.671875
1683145637137784800,1808,-1393,-421,45636.6796875
1683145637137823600,1808,-1393,194,45636.69140625
1683145637185960000,1808,-1393,290,45636.69921875
1683145637186017100,1808,-1393,102,45636.7109375
1683145637186032700,1808,-1393,-233,45636.71875
1683145637186054400,1808,-1393,138,45636.73046875
1683145637186203700,1808,-1393,-261,45636.73828125
1683145637250355000,1808,-1393,170,45636.75
1683145637250380300,1808,-1393,226,45636.76171875
1683145637250386000,1808,-1393,-361,45636.76953125
1683145637250408600,1808,-1393,-701,45636.78125
1683145637250669400,1808,-1393,526,45636.7890625
1683145637250719300,1808,-1393,-285,45636.80078125
1683145637250830300,1808,-1393,70,45636.80859375
1683145637309475300,1808,-1393,-17,45636.8203125
1683145637309518900,1808,-1393,-57,45636.828125
1683145637309546600,1808,-1393,7,45636.83984375
1683145637309585200,1808,-1393,11,45636.8515625
1683145637309952000,1808,-1393,118,45636.859375
