%time,field.curr_pos1,field.curr_pos2,field.toff,field.motor_fail,field.t
1685049526830287800,0,0,250240,0,49526.8828125
1685049526830299600,0,0,251040,0,49526.890625
1685049526830305900,0,0,250000,0,49526.90234375
1685049526830315000,0,0,250480,0,49526.91015625
1685049526830362900,0,0,250400,0,49526.921875
1685049526883833000,0,0,243800,0,49526.9296875
1685049526883887600,0,0,243920,0,49526.953125
1685049526883896700,0,0,237720,0,49526.96484375
1685049526883921900,0,0,250240,0,49526.97265625
1685049526932605000,0,0,250480,0,49526.984375
1685049526932710400,0,0,249680,0,49526.9921875
1685049526932719100,0,0,250480,0,49527.00390625
1685049526932906200,0,0,250880,0,49527.015625
1685049526932956900,0,0,252960,0,49527.0234375
1685049526985233600,0,0,247840,0,49527.03515625
1685049526985278100,0,0,250480,0,49527.04296875
1685049526985359100,0,0,249840,0,49527.0546875
1685049526985390800,0,0,239280,0,49527.0625
1685049526985398600,0,0,250800,0,49527.07421875
1685049527034723300,0,0,250160,0,49527.0859375
1685049527034766800,0,0,250040,0,49527.09375
1685049527034812600,0,0,250600,0,49527.10546875
1685049527034831300,0,0,249440,0,49527.11328125
1685049527035083500,0,0,250000,0,49527.125
1685049527085816400,0,0,251360,0,49527.1328125
1685049527085820000,0,0,249641,0,49527.14453125
1685049527085890100,0,0,252080,0,49527.15234375
1685049527085907600,0,0,249680,0,49527.1640625
1685049527086042900,0,0,249920,0,49527.17578125
1685049527134383700,0,0,250000,0,49527.18359375
1685049527134651700,0,0,250960,0,49527.1953125
1685049527134675300,0,0,249600,0,49527.203125
1685049527134683200,0,0,250160,0,49527.21484375
1685049527134716200,0,0,250800,0,49527.22265625
1685049527186428100,0,0,250000,0,49527.234375
1685049527186486000,0,0,250000,0,49527.2421875
1685049527186689300,0,0,250480,0,49527.25390625
1685049527186744000,0,0,249440,0,49527.265625
1685049527186761000,0,0,249200,0,49527.2734375
1685049527232105600,0,0,253440,0,49527.28515625
1685049527232114700,0,0,234000,0,49527.29296875
1685049527232145400,0,0,249600,0,49527.3046875
1685049527232186600,0,0,251600,0,49527.3125
1685049527232246300,0,0,249400,0,49527.32421875
1685049527284916100,0,0,250080,0,49527.3359375
1685049527284949900,0,0,250720,0,49527.34375
1685049527285148500,0,0,249760,0,49527.35546875
1685049527285247000,0,0,250240,0,49527.36328125
1685049527285257800,0,0,250720,0,49527.375
1685049527334248600,0,0,249680,0,49527.3828125
1685049527334284800,0,0,250000,0,49527.39453125
1685049527334314200,0,0,250880,0,49527.40234375
1685049527334458100,0,0,251840,0,49527.4140625
1685049527334519400,0,0,248240,0,49527.42578125
1685049527387054200,0,0,250080,0,49527.43359375
1685049527387421700,0,0,254400,0,49527.4453125
1685049527387475400,0,0,250880,0,49527.453125
1685049527387510700,0,0,251440,0,49527.46484375
1685049527387632200,0,0,249760,0,49527.47265625
1685049527437447100,0,0,249920,0,49527.484375
1685049527437457200,0,0,246680,0,49527.5078125
1685049527437526600,0,0,253600,0,49527.515625
1685049527437550800,0,0,250000,0,49527.52734375
1685049527486266300,0,0,249760,0,49527.53515625
1685049527486481500,0,0,250840,0,49527.546875
1685049527486490800,0,0,252320,0,49527.55859375
1685049527486497300,0,0,248000,0,49527.56640625
1685049527486507000,0,0,250400,0,49527.578125
1685049527536503000,0,0,248240,0,49527.5859375
1685049527536524200,0,0,250160,0,49527.59765625
1685049527536531700,0,0,250320,0,49527.60546875
1685049527536549400,0,0,249760,0,49527.6171875
1685049527536680200,0,0,250080,0,49527.62890625
1685049527587965500,0,0,250880,0,49527.63671875
1685049527588006000,0,0,250960,0,49527.64453125
1685049527588018600,0,0,249680,0,49527.65625
1685049527588064700,0,0,253840,0,49527.66796875
1685049527588132800,0,0,249720,0,49527.67578125
1685049527639338000,0,0,251360,0,49527.6875
1685049527639353200,0,0,253120,0,49527.6953125
1685049527639556700,0,0,249200,0,49527.70703125
1685049527639589400,0,0,250000,0,49527.71875
1685049527639634400,0,0,251160,0,49527.7265625
1685049527688848900,0,0,232640,0,49527.75
1685049527689106700,0,0,249760,0,49527.7578125
1685049527689122600,-2,1,250400,0,49527.76953125
1685049527689133100,-18,14,249920,0,49527.77734375
1685049527758341300,-42,37,251040,0,49527.7890625
1685049527758378300,-68,59,249440,0,49527.80078125
1685049527758400800,-100,77,250640,0,49527.80859375
1685049527758418600,-131,90,252720,0,49527.8203125
1685049527758591700,-165,92,269000,0,49527.828125
1685049527758803700,-193,92,250880,0,49527.83984375
1685049527806504600,-206,91,248880,0,49527.84765625
1685049527806533000,-210,84,248160,0,49527.859375
1685049527806539400,-209,72,249440,0,49527.8671875
1685049527806544700,-205,59,250960,0,49527.87890625
1685049527806557800,-202,52,250960,0,49527.890625
1685049527806562500,-201,55,253360,0,49527.8984375
1685049527856225800,-203,61,247520,0,49527.91015625
1685049527856264500,-205,70,248400,0,49527.91796875
1685049527856283400,-207,81,245200,0,49527.9296875
1685049527856295000,-209,89,246000,0,49527.9375
1685049527856302600,-209,90,246480,0,49527.94921875
1685049527905720400,-207,86,246000,0,49527.9609375
1685049527905740900,-207,80,294601,0,49527.96875
1685049527905745500,-206,73,248960,0,49527.98046875
1685049527905748600,-206,68,251600,0,49527.98828125
1685049527905751700,-204,68,249760,0,49528.0
1685049527953662700,-204,69,245720,0,49528.0078125
