%time,field.curr_pos1,field.curr_pos2,field.toff,field.motor_fail,field.t
1684875390299095500,233,241,250800,0,75390.6875
1684875390349570300,233,241,250960,0,75390.703125
1684875390349594500,233,241,250760,0,75390.7109375
1684875390349599800,233,241,250000,0,75390.71875
1684875390349643900,233,241,250320,0,75390.7265625
1684875390349833800,233,241,254080,0,75390.7421875
1684875390399544900,233,241,248799,0,75390.75
1684875390399573200,233,241,250320,0,75390.7578125
1684875390399580400,233,241,249760,0,75390.7734375
1684875390399779000,233,241,250560,0,75390.78125
1684875390399808900,233,241,251040,0,75390.7890625
1684875390449232900,233,241,249320,0,75390.796875
1684875390449290000,233,241,250720,0,75390.8125
1684875390449356100,233,241,250960,0,75390.8203125
1684875390449444400,233,241,249840,0,75390.828125
1684875390449455900,233,241,250400,0,75390.84375
1684875390501083600,233,241,250720,0,75390.8515625
1684875390501141200,233,241,250080,0,75390.859375
1684875390501157400,233,241,252960,0,75390.8671875
1684875390501323000,233,241,248480,0,75390.8828125
1684875390501334000,233,241,249520,0,75390.890625
1684875390551370200,233,241,249760,0,75390.8984375
1684875390551436200,233,241,250240,0,75390.90625
1684875390551451100,233,241,250800,0,75390.921875
1684875390551954400,233,241,250160,0,75390.9296875
1684875390552023300,233,241,250400,0,75390.9375
1684875390603215000,233,241,250400,0,75390.953125
1684875390603287500,233,241,250640,0,75390.9609375
1684875390603309500,233,241,251200,0,75390.96875
1684875390603741400,233,241,249840,0,75390.9765625
1684875390603804700,233,241,251120,0,75390.9921875
1684875390653979400,233,241,253920,0,75391.0
1684875390654085900,233,241,248320,0,75391.0078125
1684875390654106700,233,241,249520,0,75391.0234375
1684875390654537000,233,241,250200,0,75391.03125
1684875390654594100,233,241,251040,0,75391.0390625
1684875390706381500,233,241,249280,0,75391.046875
1684875390706453500,233,241,250240,0,75391.0625
1684875390706471200,233,241,251280,0,75391.0703125
1684875390706486900,233,241,247760,0,75391.078125
1684875390706500800,233,241,250640,0,75391.09375
1684875390706793100,233,241,250800,0,75391.1015625
1684875390756177200,233,241,251280,0,75391.109375
1684875390756270300,233,241,249960,0,75391.1171875
1684875390756336500,233,241,253040,0,75391.1328125
1684875390756620800,233,241,249000,0,75391.140625
1684875390756979600,233,241,249360,0,75391.1484375
1684875390807965800,233,241,250240,0,75391.15625
1684875390808054800,233,241,250240,0,75391.171875
1684875390808132600,233,241,254320,0,75391.1796875
1684875390808455100,233,241,250321,0,75391.1875
1684875390808474600,233,241,250480,0,75391.203125
1684875390858439300,233,241,250840,0,75391.2109375
1684875390858496900,233,241,249920,0,75391.21875
1684875390858532500,233,241,250920,0,75391.2265625
1684875390858764500,233,241,251120,0,75391.2421875
1684875390858780900,233,241,250000,0,75391.25
1684875390909792200,233,241,253840,0,75391.2578125
1684875390909852500,233,241,247600,0,75391.2734375
1684875390909895300,233,241,249840,0,75391.28125
1684875390909946500,233,241,251040,0,75391.2890625
1684875390910076500,233,241,249920,0,75391.296875
1684875390961902900,233,241,250560,0,75391.3125
1684875390962015500,233,241,250800,0,75391.3203125
1684875390962162500,233,241,250240,0,75391.328125
1684875390962498600,233,241,250560,0,75391.34375
1684875390962565900,233,241,250600,0,75391.3515625
1684875391013762100,233,241,250560,0,75391.359375
1684875391013829100,233,241,250880,0,75391.3671875
1684875391013846000,233,241,250960,0,75391.3828125
1684875391013863600,233,241,252560,0,75391.390625
1684875391013877100,233,241,247880,0,75391.3984375
1684875391063965300,233,241,249040,0,75391.40625
1684875391064028000,233,241,250240,0,75391.421875
1684875391064146800,233,241,250840,0,75391.4296875
1684875391064187500,233,241,249400,0,75391.4375
1684875391064355600,233,241,250160,0,75391.453125
1684875391113993600,233,241,250720,0,75391.4609375
1684875391114000000,233,241,250480,0,75391.46875
1684875391114002300,233,241,250960,0,75391.4765625
1684875391114047100,233,241,250000,0,75391.4921875
1684875391114063100,233,241,250480,0,75391.5
1684875391114246500,233,241,250160,0,75391.5078125
1684875391161452600,233,241,253120,0,75391.5234375
1684875391161466700,233,241,247560,0,75391.53125
1684875391161477500,233,241,249280,0,75391.5390625
1684875391161507000,233,241,251120,0,75391.546875
1684875391161510600,233,241,249760,0,75391.5625
1684875391208427200,233,241,269680,0,75391.5703125
1684875391208447700,233,241,253840,0,75391.578125
1684875391208460400,233,241,249320,0,75391.59375
1684875391208591600,233,241,249280,0,75391.6015625
1684875391255577900,233,241,250560,0,75391.609375
1684875391255606000,233,241,250800,0,75391.6171875
1684875391255612400,233,241,250240,0,75391.6328125
1684875391255618600,233,241,251360,0,75391.640625
1684875391255995000,233,241,253360,0,75391.6484375
1684875391303828500,233,241,248080,0,75391.65625
1684875391303856000,233,241,250440,0,75391.671875
1684875391303868000,233,241,250440,0,75391.6796875
1684875391303877500,233,241,250600,0,75391.6875
1684875391303883600,233,241,250720,0,75391.703125
1684875391352737100,233,241,250960,0,75391.7109375
1684875391352767400,233,241,249920,0,75391.71875
1684875391352781800,233,241,250280,0,75391.7265625
1684875391352796600,233,241,251360,0,75391.7421875
1684875391352885300,233,241,250080,0,75391.75
1684875391400245400,233,241,250360,0,75391.7578125
1684875391400342400,233,241,250560,0,75391.7734375
1684875391400450200,233,241,254080,0,75391.78125
1684875391400733600,233,241,247440,0,75391.7890625
1684875391448744300,233,241,262720,0,75391.796875
1684875391448803700,233,241,250160,0,75391.8125
1684875391448813800,233,241,250720,0,75391.8203125
1684875391448822900,233,241,250320,0,75391.828125
1684875391448831700,233,241,250720,0,75391.84375
1684875391496201700,233,241,250440,0,75391.8515625
1684875391496236700,233,241,250080,0,75391.859375
