%time,field.mx,field.my,field.fz,
1.67607E+18,-16,5,-1.96,2450.310144
1.67607E+18,-14,5,0,2450.320128
1.67607E+18,-12,4,0,2450.380032
1.67607E+18,-11,5,-1.96,2450.390016
1.67607E+18,-10,6,0,2450.46016
1.67607E+18,-9,6,0,2450.46016
1.67607E+18,-7,8,0,2450.470144
1.67607E+18,-7,7,-1.96,2450.530048
1.67607E+18,-7,8,0,2450.530048
1.67607E+18,-7,8,-1.96,2450.579968
1.67607E+18,-7,9,-1.96,2450.590208
1.67607E+18,-8,10,-1.96,2450.600192
1.67607E+18,-10,10,-1.96,2720.090112
1.67607E+18,-9,12,0,2720.11008
1.67607E+18,-11,14,-1.96,2720.120064
1.67607E+18,-12,13,-1.96,2720.120064
1.67607E+18,-14,13,-3.92,2720.130048
1.67607E+18,-14,12,-1.96,2720.140032
1.67607E+18,-13,13,0,2720.16
1.67607E+18,-15,12,-1.96,2720.169984
1.67607E+18,-14,8,1.96,2720.169984
1.67607E+18,-16,8,0,2720.180224
1.67607E+18,-20,10,0,2720.180224
1.67607E+18,-22,8,0,2720.180224
1.67607E+18,-23,8,1.96,2720.190208
1.67607E+18,-24,10,1.96,2720.22016
1.67607E+18,-24,11,0,2720.300032
1.67607E+18,-25,10,-1.96,2796.64
1.67607E+18,-25,9,0,2796.670208
1.67607E+18,-24,10,0,2796.690176
1.67607E+18,-25,9,0,2796.70016
1.67607E+18,-23,9,3.92,2796.70016
1.67607E+18,-21,10,3.92,2796.730112
1.67607E+18,-18,10,3.92,2796.760064
1.67607E+18,-17,12,7.84,2796.780032
1.67607E+18,-16,-4,23.52,2796.830208
1.67607E+18,0,-45,54.88,2796.830208
1.67607E+18,27,-60,88.2,2796.890112
1.67607E+18,52,-58,115.64,2796.900096
1.67607E+18,87,-19,166.6,2796.91008
1.67607E+18,147,18,229.32,3026.980096
1.67607E+18,216,36,321.44,3027.000064
1.67607E+18,262,12,409.64,3027.04
1.67607E+18,266,-20,474.32,3027.080192
1.67607E+18,241,-71,501.76,3027.090176
1.67607E+18,212,-95,517.44,3027.10016
1.67607E+18,194,-102,533.12,3027.130112
1.67607E+18,200,-94,554.68,3027.130112
1.67607E+18,224,-82,589.96,3027.230208
1.67607E+18,257,-61,623.28,3027.250176
1.67607E+18,294,-37,652.68,3027.250176
1.67607E+18,329,-15,668.36,3027.26016
1.67607E+18,368,17,684.04,3027.270144
1.67607E+18,399,52,695.8,3027.290112
1.67607E+18,418,84,699.72,3027.300096
1.67607E+18,436,117,705.6,3027.31008
1.67607E+18,447,147,715.4,3027.320064
1.67607E+18,450,173,719.32,3027.36
1.67607E+18,449,202,719.32,3027.42016
1.67607E+18,442,225,721.28,3027.460096
1.67607E+18,433,253,717.36,3144.990208
1.67607E+18,419,278,717.36,3145.010176
1.67607E+18,406,302,715.4,3145.030144
1.67607E+18,393,324,709.52,3145.050112
1.67607E+18,388,344,705.6,3145.080064
1.67607E+18,384,356,701.68,3145.110016
1.67607E+18,386,362,703.64,3145.12
1.67607E+18,388,368,699.72,3145.129984
1.67607E+18,405,388,693.84,3145.129984
1.67607E+18,414,396,695.8,3145.190144
1.67607E+18,415,400,695.8,3145.200128
1.67607E+18,410,410,686,3145.210112
1.67607E+18,400,424,678.16,3145.23008
1.67607E+18,386,436,674.24,3145.240064
1.67607E+18,368,448,668.36,3145.310208
1.67607E+18,353,461,668.36,3319.610112
1.67607E+18,339,478,664.44,3319.640064
1.67607E+18,327,495,662.48,3319.670016
1.67607E+18,320,513,664.44,3319.670016
1.67607E+18,316,533,662.48,3319.750144
1.67607E+18,311,551,656.6,3319.760128
1.67607E+18,309,570,652.68,3319.770112
1.67607E+18,307,588,644.84,3319.79008
1.67607E+18,307,606,638.96,3319.800064
1.67607E+18,303,620,625.24,3319.860224
1.67607E+18,301,634,611.52,3319.870208
1.67607E+18,295,648,593.88,3319.890176
1.67607E+18,290,661,582.12,3319.910144
1.67607E+18,286,676,570.36,3319.920128
1.67607E+18,288,696,560.56,3319.940096
1.67607E+18,293,716,554.68,3320.030208
1.67607E+18,302,737,552.72,3320.040192
1.67607E+18,320,763,550.76,3320.130048
1.67607E+18,341,786,552.72,3320.169984
1.67607E+18,360,811,552.72,3320.190208
1.67607E+18,379,835,548.8,3490.000128
1.67607E+18,389,855,537.04,3490.020096
1.67607E+18,390,873,519.4,3490.040064
1.67607E+18,373,889,486.08,3490.060032
1.67607E+18,344,897,446.88,3490.070016
1.67607E+18,301,900,397.88,3490.100224
1.67607E+18,248,894,344.96,3490.110208
1.67607E+18,198,876,303.8,3490.160128
1.67607E+18,170,847,280.28,3490.280192
1.67607E+18,139,813,248.92,3490.280192
1.67607E+18,117,763,229.32,3490.310144
1.67607E+18,93,709,209.72,3490.340096
1.67607E+18,79,646,196,3490.35008
1.67607E+18,70,575,180.32,3490.409984
1.67607E+18,68,505,162.68,3490.420224
1.67607E+18,67,437,152.88,3743.780096
1.67607E+18,64,377,135.24,3743.820032
1.67607E+18,60,323,117.6,3743.830016
1.67607E+18,57,277,99.96,3743.849984
1.67607E+18,54,237,86.24,3743.860224
1.67607E+18,48,200,74.48,3743.870208
1.67607E+18,43,170,68.6,3743.880192
1.67607E+18,34,138,58.8,3743.920128
1.67607E+18,25,110,50.96,3743.95008
1.67607E+18,19,86,45.08,3744
1.67607E+18,12,61,39.2,3744
1.67607E+18,4,37,31.36,3744.050176
1.67607E+18,-1,16,25.48,3744.050176
1.67607E+18,-6,-2,21.56,3744.090112
1.67607E+18,-11,-9,19.6,3744.090112
1.67607E+18,-16,-15,15.68,3744.150016
1.67607E+18,-17,-12,11.76,3834.290176
1.67607E+18,-15,-9,7.84,3834.330112
1.67607E+18,-2,-15,13.72,3834.340096
1.67607E+18,11,-34,17.64,3834.35008
1.67607E+18,1,-58,21.56,3834.409984
1.67607E+18,-33,-43,9.8,3834.420224
1.67607E+18,-45,-24,3.92,3834.530048
1.67607E+18,-35,-8,3.92,3834.540032
1.67607E+18,-27,-2,5.88,3834.550016
1.67607E+18,-23,-1,5.88,3834.600192
1.67607E+18,-27,-6,5.88,3834.610176
1.67607E+18,-28,-9,9.8,3834.660096
1.67607E+18,-22,-10,11.76,3834.67008
1.67607E+18,-20,-18,11.76,3834.710016
1.67607E+18,-16,-14,7.84,3834.710016
1.67607E+18,-16,-13,3.92,3834.770176
1.67607E+18,-20,-12,3.92,4052.040192
1.67607E+18,-22,-11,3.92,4052.070144
1.67607E+18,-21,-8,1.96,4052.080128
1.67607E+18,-20,-6,1.96,4052.080128
1.67607E+18,-20,-6,0,4052.090112
1.67607E+18,-18,-4,-3.92,4052.090112
1.67607E+18,-15,-3,-1.96,4052.100096
1.67607E+18,-12,-6,0,4052.120064
1.67607E+18,-12,-5,-3.92,4052.140032
1.67607E+18,-10,-3,-3.92,4052.179968
1.67607E+18,-8,-3,-1.96,4052.190208
1.67607E+18,-9,-1,-3.92,4052.190208
1.67607E+18,-11,-2,-5.88,4052.200192
1.67607E+18,-8,0,-3.92,4052.200192
1.67607E+18,-9,-1,-5.88,4052.210176
1.67607E+18,-7,0,-7.84,4052.460032
1.67607E+18,-7,1,-3.92,4052.470016
1.67607E+18,-7,2,-7.84,4052.48
1.67607E+18,-5,3,-3.92,4052.48
1.67607E+18,-6,3,-3.92,4144.450048
1.67607E+18,-6,3,-3.92,4144.48
1.67607E+18,-5,4,-5.88,4144.500224
1.67607E+18,-4,3,0,4144.500224
1.67607E+18,-5,4,-3.92,4144.510208
1.67607E+18,-4,4,-3.92,4144.530176
1.67607E+18,-6,2,-3.92,4144.54016
1.67607E+18,-4,2,-1.96,4144.560128
1.67607E+18,-8,2,-3.92,4144.659968
1.67607E+18,-9,5,-7.84,4144.680192
1.67607E+18,-10,8,-3.92,4144.740096
1.67607E+18,-12,11,-3.92,4144.740096
1.67607E+18,-12,14,-3.92,4144.75008
1.67607E+18,-14,12,-1.96,4144.830208
1.67607E+18,-14,12,-3.92,4144.880128
1.67607E+18,-14,12,-3.92,4144.890112
1.67607E+18,-15,11,-1.96,4286.550016
1.67607E+18,-14,13,-1.96,4286.569984
1.67607E+18,-15,11,-1.96,4286.590208
1.67607E+18,-15,11,-3.92,4286.600192
1.67607E+18,-15,6,0,4286.610176
1.67607E+18,-17,7,0,4286.62016
1.67607E+18,-17,11,-1.96,4286.640128
1.67607E+18,-15,13,-1.96,4286.650112
1.67607E+18,-19,13,-1.96,4286.650112
1.67607E+18,-18,15,0,4390.089984
1.67607E+18,-23,24,9.8,4390.110208
1.67607E+18,-36,5,31.36,4390.120192
1.67607E+18,-13,-73,84.28,4390.14016
1.67607E+18,33,-73,152.88,4390.180096
1.67607E+18,71,-36,248.92,4390.230016
1.67607E+18,139,-4,372.4,4390.230016
1.67607E+18,218,-20,490,4390.280192
1.67607E+18,236,-47,566.44,4390.290176
1.67607E+18,216,-87,603.68,4390.30016
1.67607E+18,196,-120,615.44,4441.040128
1.67607E+18,180,-148,625.24,4441.060096
1.67607E+18,182,-165,646.8,4441.07008
1.67607E+18,213,-175,678.16,4441.07008
1.67607E+18,252,-180,715.4,4441.07008
1.67607E+18,294,-164,738.92,4441.110016
1.67607E+18,335,-138,750.68,4441.170176
1.67607E+18,361,-110,752.64,4485.730048
1.67607E+18,375,-78,750.68,4485.750016
1.67607E+18,389,-38,748.72,4485.769984
1.67607E+18,403,6,744.8,4485.790208
1.67607E+18,416,52,742.84,4485.810176
1.67607E+18,430,93,742.84,4531.710208
1.67607E+18,439,120,748.72,4531.730176
1.67607E+18,435,143,744.8,4531.74016
1.67607E+18,428,162,742.84,4531.750144
1.67607E+18,421,179,738.92,4531.760128
1.67607E+18,417,197,733.04,4578.88
1.67607E+18,410,214,727.16,4578.910208
1.67607E+18,411,229,727.16,4626.820096
1.67607E+18,412,245,723.24,4626.870016
1.67607E+18,418,263,723.24,4626.889984
1.67607E+18,423,279,721.28,4626.899968
