%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time,Time ms
1.67607E+18,-0.814208984,-0.536376953,-0.240966797,1.709923664,-3.259541985,12.03816794,0,0,8331.720192
1.67607E+18,-0.8671875,-0.155761719,-0.294433594,3.534351145,-2.954198473,12.10687023,0,0,8331.730176
1.67607E+18,-1.043945313,0.509033203,-0.271728516,6.229007634,-1.847328244,12.00763359,0,0,8331.730176
1.67607E+18,-1.158691406,0.746826172,-0.237304688,8.320610687,-0.732824427,11.26717557,0,0,8331.79008
1.67607E+18,-1.014648438,0.528564453,-0.278808594,7.839694656,-0.198473282,10.3740458,0,0,8331.810048
1.67607E+18,-0.984130859,0.327392578,-0.303466797,9.480916031,0.236641221,9.496183206,0,0,8392.27008
1.67607E+18,-0.873535156,-0.077880859,-0.005859375,7.847328244,-0.167938931,8.86259542,0,0,8392.290048
1.67607E+18,-0.949951172,-0.2890625,0.080810547,5.076335878,-0.65648855,8.305343511,0,0,8392.300032
1.67607E+18,-0.894287109,-0.305419922,0.053955078,2.435114504,-1.244274809,7.938931298,0,0,8392.310016
1.67607E+18,-0.907226563,-0.28125,0.137451172,-0.381679389,-1.679389313,7.404580153,0,0,8392.310016
1.67607E+18,-0.875,-0.012695313,0.158935547,-2.625954198,-2.015267176,6.58778626,0,0,8392.329984
1.67607E+18,-0.957519531,0.184570313,0.194580078,-3.030534351,-1.778625954,5.435114504,0,0,8459.52
1.67607E+18,-1.041992188,0.131103516,0.1875,-2.732824427,-1.06870229,4.511450382,0,0,8459.539968
1.67607E+18,-1.001220703,0.121582031,0.097167969,-1.740458015,-0.450381679,3.992366412,0,0,8459.550208
1.67607E+18,-0.963623047,-0.126464844,0.016601563,-1.267175573,-0.175572519,3.58778626,0,0,8459.550208
1.67607E+18,-0.932861328,-0.252197266,-0.040039063,-1.190839695,-0.244274809,3.374045802,0,0,8459.570176
1.67607E+18,-0.926513672,-0.276611328,-0.073242188,-1.41221374,-0.526717557,3.488549618,0,0,8459.58016
1.67607E+18,-0.957519531,-0.193603516,-0.117675781,-1.335877863,-0.519083969,3.763358779,0,0,8517.200128
1.67607E+18,-0.941650391,-0.176513672,-0.166992188,-1.076335878,-0.778625954,3.969465649,0,0,8517.210112
1.67607E+18,-0.947998047,-0.173095703,-0.227050781,-1,-0.816793893,3.977099237,0,0,8517.220096
1.67607E+18,-0.985351563,-0.141845703,-0.236328125,-0.709923664,-0.816793893,4,0,0,8517.28
1.67607E+18,-1.020019531,-0.1171875,-0.211914063,-0.236641221,-0.480916031,4.335877863,0,0,8517.360128
1.67607E+18,-1.047851563,-0.094238281,-0.192382813,0.282442748,-0.053435115,4.79389313,0,0,8517.380096
1.67607E+18,-0.700683594,-0.365234375,-0.143798828,-0.557251908,-0.679389313,4.511450382,0,0,8577.240064
1.67607E+18,-0.853271484,-0.160644531,-0.122558594,-1.328244275,-1.167938931,5.854961832,0,0,8577.270016
1.67607E+18,-0.95703125,-0.142578125,0.154296875,-0.625954198,-1.183206107,4,0,0,8577.28
1.67607E+18,-0.995117188,-0.070800781,0.208984375,-0.625954198,-0.977099237,4.06870229,0,0,8577.299968
1.67607E+18,-0.974121094,0.003173828,0.125732422,0.351145038,-0.580152672,3.908396947,0,0,8577.320192
1.67607E+18,-0.912841797,-0.182861328,0.129150391,0.06870229,-0.396946565,3.709923664,0,0,8577.370112
1.67607E+18,-0.972900391,-0.084472656,0.085449219,0.251908397,-0.06870229,3.740458015,0,0,8624.659968
1.67607E+18,-0.937744141,-0.095214844,0.086669922,0.213740458,0.083969466,3.702290076,0,0,8624.690176
