%time,field.mx,field.my,field.fz
1676072640961118600,-20.0,9.0,-188.16
1676072640961146000,-22.0,10.0,-196.0
1676072640961155000,-25.0,9.0,-192.07999999999998
1676072640961160400,-23.0,10.0,-196.0
1676072640961168000,-22.0,10.0,-196.0
1676072640961172600,-24.0,8.0,-190.12
1676072641016622400,-21.0,10.0,-197.96
1676072641016641400,-21.0,10.0,-197.96
1676072641016664000,-21.0,10.0,-197.96
1676072641016676300,-21.0,10.0,-197.96
1676072641016684700,-20.0,11.0,-190.12
1676072641016695300,-21.0,9.0,-188.16
1676072641016718800,-20.0,10.0,-188.16
1676072641016750000,-20.0,10.0,-188.16
1676072641016767300,-22.0,10.0,-196.0
1676072641077741300,-19.0,12.0,-194.04
1676072641077753700,-25.0,8.0,-188.16
1676072641077765000,-25.0,9.0,-190.12
1676072641077814500,-25.0,9.0,-192.07999999999998
1676072641128493600,-19.0,12.0,-188.16
1676072641128512400,-24.0,10.0,-194.04
1676072641128519500,-23.0,10.0,-194.04
1676072641128530400,-24.0,9.0,-194.04
1676072641188522500,-19.0,11.0,-190.12
1676072641188546100,-25.0,9.0,-190.12
1676072641188555400,-25.0,9.0,-190.12
1676072641188567400,-26.0,9.0,-190.12
1676072641188616100,-21.0,10.0,-188.16
1676072641188641400,-21.0,11.0,-197.96
1676072641251200300,-21.0,10.0,-188.16
1676072641251206800,-22.0,9.0,-188.16
1676072641251246200,-21.0,12.0,-196.0
1676072641251283400,-26.0,8.0,-188.16
1676072641311413200,-27.0,8.0,-192.07999999999998
1676072641311433600,-27.0,8.0,-188.16
1676072641311446200,-26.0,8.0,-188.16
1676072641311495200,-21.0,12.0,-190.12
1676072641311535700,-21.0,10.0,-188.16
1676072641311559800,-25.0,8.0,-188.16
1676072641311571200,-23.0,9.0,-194.04
1676072641311580800,-19.0,12.0,-192.07999999999998
1676072641311587800,-22.0,8.0,-188.16
1676072641311592000,-25.0,7.0,-190.12
1676072641358242700,-23.0,8.0,-192.07999999999998
1676072641358259200,-19.0,11.0,-194.04
1676072641414723600,-20.0,9.0,-188.16
1676072641414731000,-21.0,9.0,-188.16
1676072641414734400,-23.0,8.0,-188.16
1676072641414786800,-19.0,11.0,-196.0
1676072641414795200,-20.0,9.0,-186.2
1676072641467695600,-24.0,8.0,-190.12
1676072641467702200,-21.0,10.0,-196.0
1676072641467753400,-21.0,10.0,-197.96
