%time,field.mode,field.duration,field.motor1_move,field.motor2_move,field.motor1_torque,field.motor2_torque,field.PF_cmd,field.EV_cmd,field.PF_curr,field.EV_curr,field.CPU0,field.CPU1,field.CPU2,field.CPU3,field.t,field.valid
1683919319558040400,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,19319.96875,0.0
1683919319558048300,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,19319.978515625,0.0
1683919319609881400,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,19319.98828125,0.0
1683919319609896400,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,19320.0,0.0
1683919319609982200,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,19320.0078125,0.0
1683919319610055700,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,19320.017578125,0.0
1683919319610066300,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,19320.029296875,0.0
1683919319610138800,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,33.29999923706055,20.0,12.5,0.0,19320.0390625,0.0
1683919319663779200,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,33.29999923706055,20.0,12.5,0.0,19320.048828125,0.0
1683919319663792400,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,33.29999923706055,20.0,12.5,0.0,19320.05859375,0.0
1683919319663848500,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,33.29999923706055,20.0,12.5,0.0,19320.068359375,0.0
1683919319663854600,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,33.29999923706055,20.0,12.5,0.0,19320.078125,0.0
1683919319663878700,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,33.29999923706055,20.0,12.5,0.0,19320.087890625,0.0
1683919319714266000,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,33.29999923706055,20.0,12.5,0.0,19320.09765625,0.0
1683919319714270800,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,33.29999923706055,20.0,12.5,0.0,19320.109375,0.0
1683919319714328500,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,33.29999923706055,20.0,12.5,0.0,19320.119140625,0.0
1683919319714396100,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,33.29999923706055,20.0,12.5,0.0,19320.12890625,0.0
1683919319714409400,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,11.100000381469727,0.0,19320.138671875,0.0
1683919319761682700,0,0,0,0,1500,1500,0.0,0.0,0.0,0.0,11.100000381469727,0.0,11.100000381469727,0.0,19320.1484375,0.0
