%time,Acceleration in X,Acceleration in Y,Acceleration in Y,Angular Velocity in X,Angular Velocity in Y,Angular Velocity in Z,field.state,field.swing_time,Time in ms
1.68E+18,-0.955322266,-0.243164063,-0.001220703,2.709923664,2.946564885,12.58778626,0,0,909.750016
1.68E+18,-1.128417969,0.836669922,-0.550537109,1.267175573,2.496183206,12.34351145,0,0,909.779968
1.68E+18,-0.849121094,0.354003906,-0.550537109,-1.572519084,1.954198473,10.8778626,0,0,909.789952
1.68E+18,-0.975097656,0.341064453,-0.572753906,-3.79389313,1.41221374,10.01526718,0,0,953.570048
1.68E+18,-1.090576172,0.054199219,-0.564697266,-5.099236641,1.129770992,8.908396947,0,0,953.609984
1.68E+18,-0.782714844,-0.16796875,-0.513916016,-7.320610687,-0.320610687,7.389312977,0,0,953.619968
1.68E+18,-0.951660156,0.182861328,-0.372070313,-5.427480916,-0.877862595,6.854961832,0,0,953.619968
1.68E+18,-0.968017578,0.090332031,-0.130371094,-4.167938931,-1.488549618,6.488549618,0,0,953.680128
1.68E+18,-0.961669922,-0.018066406,-0.239257813,-3.824427481,-1.610687023,6.091603053,0,0,1000.240128
1.68E+18,-0.916015625,-0.240234375,-0.223388672,-0.816793893,-2.061068702,5.618320611,0,0,1000.260096
1.68E+18,-0.97265625,-0.232666016,-0.214355469,0.221374046,-2.259541985,5.916030534,0,0,1000.27008
1.68E+18,-0.960693359,-0.238769531,-0.19921875,0.564885496,-2.389312977,6.328244275,0,0,1000.280064
1.68E+18,-0.966796875,-0.19921875,-0.221191406,0.709923664,-2.297709924,6.65648855,0,0,1000.280064
1.68E+18,-0.931884766,-0.208496094,-0.182617188,0.488549618,-2.160305344,6.763358779,0,0,1045.28
1.68E+18,-0.956298828,-0.141113281,-0.133789063,0.175572519,-1.847328244,6.832061069,0,0,1045.309952
1.68E+18,-0.954101563,-0.076416016,-0.048583984,-0.083969466,-1.625954198,6.984732824,0,0,1045.309952
1.68E+18,-0.929931641,-0.009277344,0.028320313,-0.267175573,-1.404580153,7.122137405,0,0,1045.319936
1.68E+18,-0.934082031,0.068603516,0.090087891,-0.366412214,-1.160305344,7.129770992,0,0,1091.480064
1.68E+18,-0.923339844,0.147949219,0.139404297,-0.34351145,-0.816793893,7.099236641,0,0,1091.490048
1.68E+18,-0.940429688,0.171142578,0.141357422,-0.618320611,-0.687022901,7.06870229,0,0,1091.52
