%time,field.mx,field.my,field.fz,
1.67608E+18,349,336,392,2412.890112
1.67608E+18,351,356,388.08,2412.900096
1.67608E+18,352,379,388.08,2412.950016
1.67608E+18,349,407,388.08,2412.950016
1.67608E+18,346,439,392,2412.980224
1.67608E+18,344,471,395.92,2412.980224
1.67608E+18,341,504,401.8,2412.990208
1.67608E+18,340,541,403.76,2544.140032
1.67608E+18,342,578,407.68,2544.140032
1.67608E+18,347,615,411.6,2544.180224
1.67608E+18,351,655,411.6,2544.190208
1.67608E+18,355,697,409.64,2544.240128
1.67608E+18,365,742,405.72,2544.240128
1.67608E+18,377,785,403.76,2544.290048
1.67608E+18,392,828,397.88,2544.340224
1.67608E+18,410,875,395.92,2544.350208
1.67608E+18,424,925,388.08,2684.180224
1.67608E+18,436,981,374.36,2684.200192
1.67608E+18,438,1037,356.72,2684.22016
1.67608E+18,434,1094,331.24,2684.230144
1.67608E+18,426,1147,305.76,2684.240128
1.67608E+18,416,1192,280.28,2684.300032
1.67608E+18,420,1234,256.76,2684.310016
1.67608E+18,445,1254,250.88,2805.840128
1.67608E+18,449,1274,241.08,2805.860096
1.67608E+18,452,1276,229.32,2805.880064
1.67608E+18,439,1259,217.56,2805.890048
1.67608E+18,408,1221,192.08,2805.900032
1.67608E+18,364,1150,158.76,2805.92
1.67608E+18,311,1050,119.56,2805.950208
1.67608E+18,258,932,78.4,2805.960192
1.67608E+18,206,785,39.2,2805.960192
1.67608E+18,161,634,1.96,2805.970176
1.67608E+18,115,500,-41.16,2805.970176
1.67608E+18,74,385,-82.32,2805.970176
1.67608E+18,36,279,-113.68,2805.98016
1.67608E+18,0,173,-141.12,2805.98016
1.67608E+18,-37,71,-154.84,2805.990144
1.67608E+18,-60,-13,-168.56,2805.990144
1.67608E+18,-52,-36,-172.48,2943.020032
1.67608E+18,-57,-24,-186.2,2943.04
1.67608E+18,-154,-154,-199.92,2943.04
1.67608E+18,-54,-32,-182.28,2943.05024
1.67608E+18,-10,-21,-174.44,2943.070208
1.67608E+18,-11,-48,-164.64,2943.070208
1.67608E+18,-34,1,-174.44,2943.070208
1.67608E+18,-32,9,-174.44,2943.080192
1.67608E+18,-51,-21,-174.44,2943.120128
1.67608E+18,-50,-7,-176.4,2943.140096
1.67608E+18,-42,1,-178.36,2943.160064
1.67608E+18,-41,-4,-182.28,2943.190016
1.67608E+18,-38,-12,-178.36,2943.190016
1.67608E+18,-28,-14,-176.4,2943.230208
1.67608E+18,-26,-6,-178.36,2943.230208
1.67608E+18,-29,-4,-180.32,2943.26016
1.67608E+18,-33,-2,-182.28,2943.270144
1.67608E+18,-43,-4,-186.2,2943.280128
1.67608E+18,-47,2,-188.16,2943.320064
1.67608E+18,-52,6,-192.08,3076.329984
1.67608E+18,-51,12,-194.04,3076.340224
1.67608E+18,-50,14,-192.08,3076.350208
1.67608E+18,-52,15,-196,3076.410112
1.67608E+18,-49,17,-196,3076.410112
1.67608E+18,-50,17,-197.96,3076.440064
1.67608E+18,-48,18,-197.96,3076.450048
1.67608E+18,-48,20,-201.88,3076.500224
1.67608E+18,-47,21,-201.88,3076.500224
1.67608E+18,-43,26,-203.84,3076.520192
1.67608E+18,-38,29,-203.84,3076.560128
1.67608E+18,-34,33,-205.8,3167.760128
1.67608E+18,-30,35,-209.72,3167.770112
1.67608E+18,-28,37,-213.64,3167.800064
1.67608E+18,-26,37,-215.6,3167.810048
1.67608E+18,-23,41,-213.64,3167.820032
1.67608E+18,-23,-11,-162.68,3280.489984
1.67608E+18,18,-129,-109.76,3280.510208
1.67608E+18,10,-36,-125.44,3280.54016
1.67608E+18,-25,33,-147,3280.550144
1.67608E+18,-43,38,-147,3280.560128
1.67608E+18,-47,24,-131.32,3280.59008
1.67608E+18,-50,-38,-92.12,3280.64
1.67608E+18,-54,-92,-41.16,3280.660224
1.67608E+18,-68,-118,37.24,3280.660224
1.67608E+18,-78,-176,152.88,3280.690176
1.67608E+18,-43,-159,239.12,3280.70016
1.67608E+18,-6,-88,246.96,3280.720128
1.67608E+18,9,-82,256.76,3280.740096
1.67608E+18,21,-148,299.88,3280.75008
1.67608E+18,49,-203,376.32,3280.780032
1.67608E+18,84,-199,417.48,3280.8
1.67608E+18,160,-179,470.4,3459.060224
1.67608E+18,229,-109,523.32,3459.090176
1.67608E+18,284,-93,589.96,3459.090176
1.67608E+18,311,-71,617.4,3459.110144
1.67608E+18,317,-5,595.84,3459.15008
1.67608E+18,328,63,580.16,3459.15008
1.67608E+18,342,107,580.16,3459.2
1.67608E+18,355,141,576.24,3459.2
1.67608E+18,364,175,558.6,3459.240192
1.67608E+18,364,213,535.08,3459.270144
1.67608E+18,352,247,503.72,3459.31008
1.67608E+18,342,269,470.4,3559.74016
1.67608E+18,354,296,431.2,3559.750144
1.67608E+18,369,313,411.6,3559.780096
1.67608E+18,379,319,399.84,3559.79008
1.67608E+18,386,331,382.2,3559.820032
1.67608E+18,391,347,366.52,3559.830016
1.67608E+18,385,365,354.76,3559.860224
1.67608E+18,375,387,346.92,3559.880192
1.67608E+18,362,416,343,3559.910144
1.67608E+18,349,448,339.08,3559.920128
1.67608E+18,331,485,339.08,3559.930112
1.67608E+18,315,524,339.08,3559.95008
1.67608E+18,301,565,343,3559.960064
1.67608E+18,292,608,350.84,3560.020224
1.67608E+18,287,654,356.72,3560.020224
1.67608E+18,284,705,358.68,3732.530176
1.67608E+18,283,760,354.76,3732.560128
1.67608E+18,286,816,352.8,3732.580096
1.67608E+18,297,872,346.92,3732.580096
1.67608E+18,315,928,339.08,3732.59008
1.67608E+18,335,980,331.24,3732.59008
1.67608E+18,357,1030,317.52,3732.620032
1.67608E+18,381,1081,299.88,3732.630016
1.67608E+18,399,1129,278.32,3732.649984
1.67608E+18,406,1178,246.96,3732.660224
1.67608E+18,400,1218,221.48,3732.70016
1.67608E+18,398,1245,211.68,3732.710144
1.67608E+18,396,1258,201.88,3732.8
1.67608E+18,391,1256,190.12,3732.81024
1.67608E+18,378,1237,168.56,3732.830208
1.67608E+18,328,1190,105.84,3732.86016
1.67608E+18,278,1116,21.56,3905.769984
1.67608E+18,249,1035,-45.08,3905.780224
1.67608E+18,203,857,-58.8,3905.790208
1.67608E+18,165,689,-62.72,3905.800192
1.67608E+18,107,523,-86.24,3905.810176
1.67608E+18,65,371,-105.84,3905.810176
1.67608E+18,30,253,-129.36,3905.82016
1.67608E+18,-4,142,-145.04,3905.82016
1.67608E+18,-52,39,-160.72,3905.830144
1.67608E+18,-67,-34,-170.52,3905.840128
1.67608E+18,-53,-38,-178.36,3905.840128
1.67608E+18,-133,-56,-211.68,3905.850112
1.67608E+18,-131,-147,-188.16,3905.860096
1.67608E+18,-32,-33,-176.4,3905.87008
1.67608E+18,-1,-40,-172.48,3905.880064
1.67608E+18,-18,-13,-180.32,3905.880064
1.67608E+18,-39,11,-182.28,3905.890048
1.67608E+18,-35,18,-182.28,3905.900032
1.67608E+18,-45,-9,-182.28,3905.910016
1.67608E+18,-52,-1,-184.24,4051.550208
1.67608E+18,-44,14,-184.24,4051.560192
1.67608E+18,-43,13,-190.12,4051.560192
