%time,field.accel_x,field.accel_y,field.accel_z,field.gyro_x,field.gyro_y,field.gyro_z,field.state,field.swing_time,
1.67608E+18,-0.944091797,-0.188964844,0.043212891,0.633587786,0.267175573,4.534351145,0,0,743.170048
1.67608E+18,-0.964355469,-0.123046875,-0.010009766,0.961832061,0.526717557,4.687022901,0,0,743.170048
1.67608E+18,-0.938232422,-0.138427734,0.015380859,1,0.671755725,4.86259542,0,0,743.180032
1.67608E+18,-0.939697266,-0.190185547,-0.001708984,0.893129771,0.832061069,4.992366412,0,0,743.2
1.67608E+18,-0.938232422,-0.187011719,0.004394531,0.717557252,0.923664122,5.13740458,0,0,802.30016
1.67608E+18,-0.946044922,-0.103759766,-0.007080078,0.86259542,1.045801527,5.221374046,0,0,802.320128
1.67608E+18,-0.945800781,-0.105224609,-0.013427734,1.045801527,1.290076336,5.320610687,0,0,802.330112
1.67608E+18,-0.950195313,-0.122558594,-0.033691406,1.160305344,1.503816794,5.503816794,0,0,802.340096
1.67608E+18,-0.946533203,-0.093261719,-0.066650391,1.20610687,1.641221374,5.465648855,0,0,802.35008
1.67608E+18,-0.9375,-0.060302734,-0.082519531,1.27480916,1.687022901,5.511450382,0,0,802.370048
1.67608E+18,-0.94921875,-0.055175781,-0.073486328,1.244274809,1.740458015,5.564885496,0,0,850.57024
1.67608E+18,-0.95703125,-0.038574219,-0.086669922,1.167938931,1.79389313,5.709923664,0,0,850.590208
1.67608E+18,-0.952880859,-0.051757813,-0.079345703,1.022900763,1.832061069,5.79389313,0,0,850.600192
1.67608E+18,-0.952636719,-0.048339844,-0.084716797,0.877862595,1.870229008,5.870229008,0,0,850.610176
1.67608E+18,-0.951904297,-0.039306641,-0.096191406,0.79389313,1.93129771,5.900763359,0,0,850.650112
1.67608E+18,-0.95703125,-0.045166016,-0.071533203,0.778625954,2.030534351,5.992366412,0,0,896.470016
1.67608E+18,-0.95703125,-0.076416016,-0.059570313,0.65648855,2.167938931,6.167938931,0,0,896.48
1.67608E+18,-0.952392578,-0.088867188,-0.052978516,0.526717557,2.244274809,6.41221374,0,0,896.530176
1.67608E+18,-0.973632813,-0.112060547,-0.043457031,0.27480916,2.320610687,6.755725191,0,0,896.550144
1.67608E+18,-0.977539063,-0.131347656,-0.035888672,0.030534351,2.358778626,7.129770992,0,0,947.10016
1.67608E+18,-0.989746094,-0.149169922,-0.050537109,-0.061068702,2.374045802,7.541984733,0,0,947.120128
1.67608E+18,-0.999511719,-0.1875,-0.043212891,0.015267176,2.41221374,7.992366412,0,0,947.140096
1.67608E+18,-1.016113281,-0.222412109,-0.028564453,0.297709924,2.541984733,8.610687023,0,0,947.15008
1.67608E+18,-1.026611328,-0.26171875,-0.040527344,0.595419847,2.664122137,9.328244275,0,0,947.2
1.67608E+18,-1.051757813,-0.316162109,-0.047851563,0.900763359,2.72519084,10.16793893,0,0,1005.880064
1.67608E+18,-1.063232422,-0.362548828,-0.054199219,1.244274809,2.770992366,11.02290076,0,0,1005.910016
1.67608E+18,-1.115478516,-0.326416016,-0.098632813,1.870229008,2.748091603,11.93129771,0,0,1005.950208
1.67608E+18,-1.182617188,-0.158691406,0.033691406,3.603053435,2.473282443,12.64122137,0,0,1005.960192
1.67608E+18,-1.596679688,-0.620361328,0.191650391,4.618320611,3.351145038,13.41984733,0,0,1006.020096
1.67608E+18,-1.425048828,-0.971679688,0.059570313,3.244274809,4.06870229,14.85496183,0,0,1006.040064
1.67608E+18,-1.462402344,-0.847167969,-0.113769531,2.893129771,4.20610687,16.64885496,0,0,1055.400192
1.67608E+18,-1.471679688,-1.025146484,-0.084472656,2.167938931,4.167938931,19.05343511,0,0,1055.410176
1.67608E+18,-1.571044922,-1.084472656,-0.104003906,1.442748092,4.328244275,20.77099237,0,0,1055.440128
1.67608E+18,-1.548095703,-0.989746094,-0.143310547,1.030534351,4.641221374,22.15267176,0,0,1055.450112
1.67608E+18,-1.486816406,-1.034667969,-0.172607422,1.061068702,5,23.40458015,0,0,1055.47008
1.67608E+18,-1.413574219,-0.775146484,-0.10546875,1.717557252,4.885496183,24.33587786,0,0,1120.260096
1.67608E+18,-1.596435547,-0.348632813,-0.012939453,3.076335878,4.717557252,25.20610687,0,0,1120.27008
1.67608E+18,-1.611572266,-0.245361328,0.031982422,4.442748092,4.244274809,25.54961832,0,0,1120.290048
1.67608E+18,-1.623291016,-0.177001953,0.054443359,5.328244275,3.916030534,25.47328244,0,0,1120.300032
1.67608E+18,-1.608642578,-0.248535156,0.045898438,5.480916031,3.770992366,25.01526718,0,0,1120.310016
1.67608E+18,-1.448486328,-0.143554688,0.009765625,5.72519084,3.832061069,24.11450382,0,0,1120.310016
